Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.8
Woj. DOLNOŚLĄSKIE                                                     ,5.1
      bolesławiecki                                                   ,4.4
      dzierżoniowski                                                  ,6.4
      głogowski                                                       ,7.4
      górowski                                                        ,15.3
      jaworski                                                        ,11.6
      jeleniogórski                                                   ,8.8
      kamiennogórski                                                  ,7.6
      kłodzki                                                         ,12.0
      legnicki                                                        ,9.3
      lubański                                                        ,7.8
      lubiński                                                        ,4.7
      lwówecki                                                        ,11.4
      milicki                                                         ,7.2
      oleśnicki                                                       ,6.0
      oławski                                                         ,4.5
      polkowicki                                                      ,4.4
      strzeliński                                                     ,10.7
      średzki                                                         ,5.1
      świdnicki                                                       ,6.2
      trzebnicki                                                      ,5.6
      wałbrzyski                                                      ,13.5
      wołowski                                                        ,11.4
      wrocławski                                                      ,1.9
      ząbkowicki                                                      ,10.9
      zgorzelecki                                                     ,5.8
      złotoryjski                                                     ,14.3
      m. Jelenia Góra                                                 ,3.6
      m. Legnica                                                      ,4.7
      m. Wrocław                                                      ,1.9
      m. Wałbrzych                                                    ,5.3
Woj. KUJAWSKO-POMORSKIE                                               ,8.3
      aleksandrowski                                                  ,13.3
      brodnicki                                                       ,7.5
      bydgoski                                                        ,4.3
      chełmiński                                                      ,12.5
      golubsko-dobrzyński                                             ,10.8
      grudziądzki                                                     ,12.3
      inowrocławski                                                   ,11.8
      lipnowski                                                       ,14.4
      mogileński                                                      ,10.3
      nakielski                                                       ,11.8
      radziejowski                                                    ,16.5
      rypiński                                                        ,10.1
      sępoleński                                                      ,11.8
      świecki                                                         ,7.4
      toruński                                                        ,10.2
      tucholski                                                       ,10.7
      wąbrzeski                                                       ,12.8
      włocławski                                                      ,14.8
      żniński                                                         ,9.8
      m. Bydgoszcz                                                    ,2.9
      m. Grudziądz                                                    ,9.3
      m. Toruń                                                        ,4.2
      m. Włocławek                                                    ,9.7
Woj. LUBELSKIE                                                        ,7.9
      bialski                                                         ,9.7
      biłgorajski                                                     ,5.5
      chełmski                                                        ,11.9
      hrubieszowski                                                   ,13.3
      janowski                                                        ,9.1
      krasnostawski                                                   ,11.6
      kraśnicki                                                       ,10.4
      lubartowski                                                     ,10.8
      lubelski                                                        ,6.2
      łęczyński                                                       ,5.7
      łukowski                                                        ,4.9
      opolski                                                         ,9.1
      parczewski                                                      ,7.0
      puławski                                                        ,5.6
