Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.4
Woj. DOLNOŚLĄSKIE                                                     ,4.8
      bolesławiecki                                                   ,4.1
      dzierżoniowski                                                  ,6.1
      głogowski                                                       ,7.1
      górowski                                                        ,14.9
      jaworski                                                        ,11.4
      jeleniogórski                                                   ,8.5
      kamiennogórski                                                  ,6.8
      kłodzki                                                         ,11.3
      legnicki                                                        ,8.8
      lubański                                                        ,7.2
      lubiński                                                        ,4.3
      lwówecki                                                        ,11.0
      milicki                                                         ,6.7
      oleśnicki                                                       ,5.3
      oławski                                                         ,4.3
      polkowicki                                                      ,4.3
      strzeliński                                                     ,10.1
      średzki                                                         ,4.9
      świdnicki                                                       ,6.0
      trzebnicki                                                      ,5.2
      wałbrzyski                                                      ,13.1
      wołowski                                                        ,11.1
      wrocławski                                                      ,1.7
      ząbkowicki                                                      ,10.2
      zgorzelecki                                                     ,5.6
      złotoryjski                                                     ,13.5
      m. Jelenia Góra                                                 ,3.3
      m. Legnica                                                      ,4.4
      m. Wrocław                                                      ,1.7
      m. Wałbrzych                                                    ,5.1
Woj. KUJAWSKO-POMORSKIE                                               ,7.9
      aleksandrowski                                                  ,12.6
      brodnicki                                                       ,7.2
      bydgoski                                                        ,4.1
      chełmiński                                                      ,11.9
      golubsko-dobrzyński                                             ,10.3
      grudziądzki                                                     ,11.6
      inowrocławski                                                   ,11.2
      lipnowski                                                       ,14.1
      mogileński                                                      ,9.9
      nakielski                                                       ,11.0
      radziejowski                                                    ,16.2
      rypiński                                                        ,9.8
      sępoleński                                                      ,11.2
      świecki                                                         ,7.1
      toruński                                                        ,9.6
      tucholski                                                       ,10.3
      wąbrzeski                                                       ,11.9
      włocławski                                                      ,14.3
      żniński                                                         ,9.5
      m. Bydgoszcz                                                    ,2.7
      m. Grudziądz                                                    ,8.8
      m. Toruń                                                        ,4.0
      m. Włocławek                                                    ,9.1
Woj. LUBELSKIE                                                        ,7.6
      bialski                                                         ,9.5
      biłgorajski                                                     ,5.2
      chełmski                                                        ,11.7
      hrubieszowski                                                   ,13.0
      janowski                                                        ,8.8
      krasnostawski                                                   ,11.3
      kraśnicki                                                       ,10.3
      lubartowski                                                     ,10.5
      lubelski                                                        ,5.8
      łęczyński                                                       ,5.4
      łukowski                                                        ,4.5
      opolski                                                         ,8.8
      parczewski                                                      ,6.8
      puławski                                                        ,5.4
      radzyński                                                       ,6.1
      rycki                                                           ,7.3
      świdnicki                                                       ,8.9
      tomaszowski                                                     ,7.2
      włodawski                                                       ,14.7
      zamojski                                                        ,8.4
      m. Biała Podlaska                                               ,10.0
      m. Chełm                                                        ,10.6
      m. Lublin                                                       ,5.1
      m. Zamość                                                       ,8.7
Woj. LUBUSKIE                                                         ,5.2
      gorzowski                                                       ,3.9
      krośnieński                                                     ,8.4
      międzyrzecki                                                    ,9.5
      nowosolski                                                      ,6.8
      słubicki                                                        ,2.8
      strzelecko-drezdenecki                                          ,10.4
      sulęciński                                                      ,6.3
      świebodziński                                                   ,4.0
      zielonogórski                                                   ,6.1
      żagański                                                        ,8.4
      żarski                                                          ,5.5
      wschowski                                                       ,7.9
      m. Gorzów Wielkopolski                                          ,2.6
      m. Zielona Góra                                                 ,2.6
Woj. ŁÓDZKIE                                                          ,5.5
      bełchatowski                                                    ,5.0
      kutnowski                                                       ,8.1
      łaski                                                           ,7.0
      łęczycki                                                        ,6.8
      łowicki                                                         ,4.9
      łódzki wschodni                                                 ,6.3
      opoczyński                                                      ,6.0
      pabianicki                                                      ,6.6
      pajęczański                                                     ,7.3
      piotrkowski                                                     ,5.1
      poddębicki                                                      ,6.3
      radomszczański                                                  ,5.7
      rawski                                                          ,3.2
      sieradzki                                                       ,5.5
      skierniewicki                                                   ,3.9
      tomaszowski                                                     ,6.9
      wieluński                                                       ,5.8
      wieruszowski                                                    ,4.4
      zduńskowolski                                                   ,6.4
      zgierski                                                        ,6.0
      brzeziński                                                      ,6.8
      m. Łódź                                                         ,4.7
      m. Piotrków Trybunalski                                         ,5.4
