Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.8
Woj. DOLNOŚLĄSKIE                                                     ,6.0
      bolesławiecki                                                   ,4.6
      dzierżoniowski                                                  ,8.1
      głogowski                                                       ,9.7
      górowski                                                        ,16.9
      jaworski                                                        ,14.4
      jeleniogórski                                                   ,9.2
      kamiennogórski                                                  ,7.9
      kłodzki                                                         ,12.6
      legnicki                                                        ,11.8
      lubański                                                        ,9.3
      lubiński                                                        ,5.2
      lwówecki                                                        ,13.2
      milicki                                                         ,7.3
      oleśnicki                                                       ,6.6
      oławski                                                         ,5.8
      polkowicki                                                      ,4.7
      strzeliński                                                     ,11.4
      średzki                                                         ,6.3
      świdnicki                                                       ,7.2
      trzebnicki                                                      ,6.7
      wałbrzyski                                                      ,15.2
      wołowski                                                        ,12.3
      wrocławski                                                      ,2.2
      ząbkowicki                                                      ,12.2
      zgorzelecki                                                     ,5.4
      złotoryjski                                                     ,16.2
      m. Jelenia Góra                                                 ,3.7
      m. Legnica                                                      ,5.7
      m. Wrocław                                                      ,2.2
      m. Wałbrzych                                                    ,7.3
Woj. KUJAWSKO-POMORSKIE                                               ,10.2
      aleksandrowski                                                  ,14.4
      brodnicki                                                       ,8.0
      bydgoski                                                        ,6.8
      chełmiński                                                      ,14.1
      golubsko-dobrzyński                                             ,11.1
      grudziądzki                                                     ,14.7
      inowrocławski                                                   ,14.7
      lipnowski                                                       ,18.4
      mogileński                                                      ,12.2
      nakielski                                                       ,13.7
      radziejowski                                                    ,18.0
      rypiński                                                        ,12.1
      sępoleński                                                      ,14.0
      świecki                                                         ,8.9
      toruński                                                        ,12.8
      tucholski                                                       ,13.1
      wąbrzeski                                                       ,13.7
      włocławski                                                      ,18.6
      żniński                                                         ,12.7
      m. Bydgoszcz                                                    ,4.0
      m. Grudziądz                                                    ,11.3
      m. Toruń                                                        ,5.3
      m. Włocławek                                                    ,12.8
Woj. LUBELSKIE                                                        ,8.9
      bialski                                                         ,10.7
      biłgorajski                                                     ,5.8
      chełmski                                                        ,14.6
      hrubieszowski                                                   ,14.3
      janowski                                                        ,8.4
      krasnostawski                                                   ,12.5
      kraśnicki                                                       ,10.9
      lubartowski                                                     ,12.3
      lubelski                                                        ,7.5
      łęczyński                                                       ,6.4
      łukowski                                                        ,5.2
      opolski                                                         ,9.6
      parczewski                                                      ,8.4
      puławski                                                        ,6.3
      radzyński                                                       ,8.1
      rycki                                                           ,9.6
      świdnicki                                                       ,10.1
      tomaszowski                                                     ,8.2
      włodawski                                                       ,16.8
      zamojski                                                        ,10.8
