Województwa,Stopa bezrobocia w %
POLSKA                                                                ,8.6
Woj. DOLNOŚLĄSKIE                                                     ,7.6
PODREGION 1 - JELENIOGÓRSKI,10.3
      bolesławiecki                                                   ,6.3
      jaworski                                                        ,16.8
      jeleniogórski                                                   ,11.4
      kamiennogórski                                                  ,11.2
      lubański                                                        ,12.1
      lwówecki                                                        ,17.1
      zgorzelecki                                                     ,7.7
      złotoryjski                                                     ,19.5
      m. Jelenia Góra                                                 ,4.7
PODREGION 2 - LEGNICKO-GŁOGOWSKI,8.6
      głogowski                                                       ,10.5
      górowski                                                        ,19.4
      legnicki                                                        ,13.9
      lubiński                                                        ,6.4
      polkowicki                                                      ,6.1
      m. Legnica                                                      ,6.7
PODREGION 3 - WAŁBRZYSKI,12.3
      dzierżoniowski                                                  ,10.6
      kłodzki                                                         ,16.4
      świdnicki                                                       ,9.3
      wałbrzyski                                                      ,20.0
      ząbkowicki                                                      ,14.6
      m. Wałbrzych                                                    ,9.2
PODREGION 4 - WROCŁAWSKI,7.6
      milicki                                                         ,10.4
      oleśnicki                                                       ,8.6
      oławski                                                         ,7.3
      strzeliński                                                     ,13.1
      średzki                                                         ,7.6
      trzebnicki                                                      ,8.6
      wołowski                                                        ,15.3
      wrocławski                                                      ,2.9
PODREGION 5 - M. WROCŁAW,2.8
      m. Wrocław                                                      ,2.8
Woj. KUJAWSKO-POMORSKIE                                               ,12.5
PODREGION 6 - BYDGOSKO-TORUŃSKI,6.7
      bydgoski                                                        ,8.4
      toruński                                                        ,14.7
      m. Bydgoszcz                                                    ,5.0
      m. Toruń                                                        ,6.3
PODREGION 7 - GRUDZIĄDZKI,14.3
      brodnicki                                                       ,10.4
      chełmiński                                                      ,16.5
      golubsko-dobrzyński                                             ,14.7
      grudziądzki                                                     ,17.2
      rypiński                                                        ,14.7
      wąbrzeski                                                       ,16.9
      m. Grudziądz                                                    ,13.9
PODREGION 8 - WŁOCŁAWSKI,19.4
      aleksandrowski                                                  ,17.5
      lipnowski                                                       ,21.6
      radziejowski                                                    ,21.1
      włocławski                                                      ,22.6
      m. Włocławek                                                    ,16.2
PODREGION 67 - INOWROCŁAWSKI,16.7
      inowrocławski                                                   ,17.6
      mogileński                                                      ,14.7
      nakielski                                                       ,16.6
      żniński                                                         ,16.3
PODREGION 68 - ŚWIECKI,13.6
      sępoleński                                                      ,18.0
      świecki                                                         ,10.8
      tucholski                                                       ,15.5
Woj. LUBELSKIE                                                        ,10.8
PODREGION 9 - BIALSKI,13.0
      bialski                                                         ,12.8
      parczewski                                                      ,10.4
      radzyński                                                       ,11.0
      włodawski                                                       ,19.8
      m. Biała Podlaska                                               ,13.0
