Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.6
Woj. DOLNOŚLĄSKIE                                                     ,5.0
      bolesławiecki                                                   ,4.0
      dzierżoniowski                                                  ,6.0
      głogowski                                                       ,8.8
      górowski                                                        ,14.3
      jaworski                                                        ,12.1
      jeleniogórski                                                   ,8.7
      kamiennogórski                                                  ,6.6
      kłodzki                                                         ,11.3
      legnicki                                                        ,9.7
      lubański                                                        ,7.0
      lubiński                                                        ,4.6
      lwówecki                                                        ,11.5
      milicki                                                         ,6.8
      oleśnicki                                                       ,5.4
      oławski                                                         ,5.3
      polkowicki                                                      ,4.3
      strzeliński                                                     ,10.2
      średzki                                                         ,5.6
      świdnicki                                                       ,5.9
      trzebnicki                                                      ,5.9
      wałbrzyski                                                      ,13.2
      wołowski                                                        ,11.0
      wrocławski                                                      ,1.8
      ząbkowicki                                                      ,11.0
      zgorzelecki                                                     ,5.1
      złotoryjski                                                     ,14.0
      m. Jelenia Góra                                                 ,3.3
      m. Legnica                                                      ,4.8
      m. Wrocław                                                      ,1.8
      m. Wałbrzych                                                    ,5.3
Woj. KUJAWSKO-POMORSKIE                                               ,8.4
      aleksandrowski                                                  ,12.2
      brodnicki                                                       ,7.3
      bydgoski                                                        ,5.3
      chełmiński                                                      ,11.9
      golubsko-dobrzyński                                             ,10.0
      grudziądzki                                                     ,12.8
      inowrocławski                                                   ,12.2
      lipnowski                                                       ,15.4
      mogileński                                                      ,10.2
      nakielski                                                       ,11.2
      radziejowski                                                    ,16.6
      rypiński                                                        ,10.4
      sępoleński                                                      ,11.5
      świecki                                                         ,7.1
      toruński                                                        ,10.8
      tucholski                                                       ,9.9
      wąbrzeski                                                       ,11.5
      włocławski                                                      ,14.9
      żniński                                                         ,9.9
      m. Bydgoszcz                                                    ,3.5
      m. Grudziądz                                                    ,8.8
      m. Toruń                                                        ,4.5
      m. Włocławek                                                    ,9.7
Woj. LUBELSKIE                                                        ,7.7
      bialski                                                         ,10.0
      biłgorajski                                                     ,4.9
      chełmski                                                        ,12.8
      hrubieszowski                                                   ,12.4
      janowski                                                        ,8.0
      krasnostawski                                                   ,11.3
      kraśnicki                                                       ,9.6
      lubartowski                                                     ,10.3
      lubelski                                                        ,6.2
      łęczyński                                                       ,5.0
      łukowski                                                        ,4.1
      opolski                                                         ,8.7
      parczewski                                                      ,7.3
      puławski                                                        ,6.0
      radzyński                                                       ,6.6
      rycki                                                           ,7.7
      świdnicki                                                       ,8.9
      tomaszowski                                                     ,6.5
      włodawski                                                       ,14.5
      zamojski                                                        ,8.6
      m. Biała Podlaska                                               ,10.6
      m. Chełm                                                        ,11.0
      m. Lublin                                                       ,5.4
      m. Zamość                                                       ,9.3
Woj. LUBUSKIE                                                         ,5.4
      gorzowski                                                       ,4.0
      krośnieński                                                     ,8.9
      międzyrzecki                                                    ,11.3
      nowosolski                                                      ,8.0
      słubicki                                                        ,2.8
      strzelecko-drezdenecki                                          ,9.6
      sulęciński                                                      ,5.9
      świebodziński                                                   ,4.3
      zielonogórski                                                   ,6.4
      żagański                                                        ,8.6
      żarski                                                          ,5.3
      wschowski                                                       ,7.5
      m. Gorzów Wielkopolski                                          ,2.4
      m. Zielona Góra                                                 ,3.2
Woj. ŁÓDZKIE                                                          ,5.9
      bełchatowski                                                    ,5.4
      kutnowski                                                       ,8.8
      łaski                                                           ,7.4
      łęczycki                                                        ,7.1
      łowicki                                                         ,5.2
      łódzki wschodni                                                 ,7.0
      opoczyński                                                      ,6.2
      pabianicki                                                      ,6.8
      pajęczański                                                     ,7.3
      piotrkowski                                                     ,5.4
      poddębicki                                                      ,6.4
      radomszczański                                                  ,5.8
      rawski                                                          ,3.5
      sieradzki                                                       ,5.4
      skierniewicki                                                   ,3.7
      tomaszowski                                                     ,7.1
      wieluński                                                       ,6.2
      wieruszowski                                                    ,4.2
      zduńskowolski                                                   ,7.0
      zgierski                                                        ,6.5
      brzeziński                                                      ,6.7
      m. Łódź                                                         ,5.4
      m. Piotrków Trybunalski                                         ,5.2
      m. Skierniewice                                                 ,5.3
Woj. MAŁOPOLSKIE                                                      ,4.5
      bocheński                                                       ,4.2
      brzeski                                                         ,5.2
      chrzanowski                                                     ,7.6
      dąbrowski                                                       ,10.6
      gorlicki                                                        ,5.3
      krakowski                                                       ,4.0
      limanowski                                                      ,7.1
      miechowski                                                      ,4.4
      myślenicki                                                      ,2.8
      nowosądecki                                                     ,7.7
      nowotarski                                                      ,5.6
      olkuski                                                         ,7.2
      oświęcimski                                                     ,5.5
      proszowicki                                                     ,5.6
      suski                                                           ,4.6
