Województwa,Stopa bezrobocia w %
POLSKA                                                                ,7.0
Woj. DOLNOŚLĄSKIE                                                     ,6.3
PODREGION 1 - JELENIOGÓRSKI,8.2
      bolesławiecki                                                   ,4.8
      jaworski                                                        ,13.8
      jeleniogórski                                                   ,9.7
      kamiennogórski                                                  ,7.9
      lubański                                                        ,9.5
      lwówecki                                                        ,14.3
      zgorzelecki                                                     ,5.9
      złotoryjski                                                     ,16.4
      m. Jelenia Góra                                                 ,3.4
PODREGION 2 - LEGNICKO-GŁOGOWSKI,7.4
      głogowski                                                       ,9.7
      górowski                                                        ,15.7
      legnicki                                                        ,12.6
      lubiński                                                        ,5.4
      polkowicki                                                      ,4.7
      m. Legnica                                                      ,6.0
PODREGION 3 - WAŁBRZYSKI,9.8
      dzierżoniowski                                                  ,8.1
      kłodzki                                                         ,13.3
      świdnicki                                                       ,7.1
      wałbrzyski                                                      ,15.2
      ząbkowicki                                                      ,12.3
      m. Wałbrzych                                                    ,7.9
PODREGION 4 - WROCŁAWSKI,6.5
      milicki                                                         ,8.4
      oleśnicki                                                       ,7.0
      oławski                                                         ,6.4
      strzeliński                                                     ,11.9
      średzki                                                         ,6.5
      trzebnicki                                                      ,7.3
      wołowski                                                        ,13.1
      wrocławski                                                      ,2.5
PODREGION 5 - M. WROCŁAW,2.5
      m. Wrocław                                                      ,2.5
Woj. KUJAWSKO-POMORSKIE                                               ,10.3
PODREGION 6 - BYDGOSKO-TORUŃSKI,5.8
      bydgoski                                                        ,7.1
      toruński                                                        ,13.1
      m. Bydgoszcz                                                    ,4.3
      m. Toruń                                                        ,5.4
PODREGION 7 - GRUDZIĄDZKI,11.6
      brodnicki                                                       ,7.9
      chełmiński                                                      ,14.5
      golubsko-dobrzyński                                             ,12.1
      grudziądzki                                                     ,14.2
      rypiński                                                        ,11.3
      wąbrzeski                                                       ,14.3
      m. Grudziądz                                                    ,11.3
PODREGION 8 - WŁOCŁAWSKI,15.7
      aleksandrowski                                                  ,13.5
      lipnowski                                                       ,16.6
      radziejowski                                                    ,18.2
      włocławski                                                      ,18.6
      m. Włocławek                                                    ,13.3
PODREGION 67 - INOWROCŁAWSKI,14.2
      inowrocławski                                                   ,15.4
      mogileński                                                      ,12.4
      nakielski                                                       ,13.7
      żniński                                                         ,13.2
PODREGION 68 - ŚWIECKI,10.9
      sępoleński                                                      ,14.1
      świecki                                                         ,8.5
      tucholski                                                       ,13.1
Woj. LUBELSKIE                                                        ,8.9
PODREGION 9 - BIALSKI,10.9
      bialski                                                         ,10.7
      parczewski                                                      ,8.2
      radzyński                                                       ,8.8
      włodawski                                                       ,16.2
      m. Biała Podlaska                                               ,11.8
PODREGION 10 - CHEŁMSKO-ZAMOJSKI,10.3
      biłgorajski                                                     ,5.3
      chełmski                                                        ,13.9
      hrubieszowski                                                   ,13.7
      krasnostawski                                                   ,12.5
