Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.1
Woj. DOLNOŚLĄSKIE                                                     ,5.5
      bolesławiecki                                                   ,5.4
      dzierżoniowski                                                  ,6.8
      głogowski                                                       ,7.7
      górowski                                                        ,15.3
      jaworski                                                        ,11.2
      jeleniogórski                                                   ,9.7
      kamiennogórski                                                  ,7.6
      kłodzki                                                         ,12.6
      legnicki                                                        ,9.1
      lubański                                                        ,8.3
      lubiński                                                        ,4.9
      lwówecki                                                        ,11.6
      milicki                                                         ,6.7
      oleśnicki                                                       ,6.7
      oławski                                                         ,4.9
      polkowicki                                                      ,4.7
      strzeliński                                                     ,10.9
      średzki                                                         ,5.7
      świdnicki                                                       ,6.7
      trzebnicki                                                      ,5.5
      wałbrzyski                                                      ,14.7
      wołowski                                                        ,11.8
      wrocławski                                                      ,2.2
      ząbkowicki                                                      ,10.2
      zgorzelecki                                                     ,5.7
      złotoryjski                                                     ,13.5
      m. Jelenia Góra                                                 ,4.2
      m. Legnica                                                      ,5.6
      m. Wrocław                                                      ,2.3
      m. Wałbrzych                                                    ,5.6
Woj. KUJAWSKO-POMORSKIE                                               ,8.7
      aleksandrowski                                                  ,14.0
      brodnicki                                                       ,8.0
      bydgoski                                                        ,4.9
      chełmiński                                                      ,13.3
      golubsko-dobrzyński                                             ,11.5
      grudziądzki                                                     ,12.4
      inowrocławski                                                   ,12.3
      lipnowski                                                       ,15.3
      mogileński                                                      ,10.6
      nakielski                                                       ,12.2
      radziejowski                                                    ,16.2
      rypiński                                                        ,9.7
      sępoleński                                                      ,11.7
      świecki                                                         ,6.9
      toruński                                                        ,10.7
      tucholski                                                       ,10.8
      wąbrzeski                                                       ,12.6
      włocławski                                                      ,14.5
      żniński                                                         ,9.7
      m. Bydgoszcz                                                    ,3.4
      m. Grudziądz                                                    ,11.2
      m. Toruń                                                        ,4.4
      m. Włocławek                                                    ,10.5
Woj. LUBELSKIE                                                        ,8.0
      bialski                                                         ,10.1
      biłgorajski                                                     ,5.1
      chełmski                                                        ,12.5
      hrubieszowski                                                   ,12.1
      janowski                                                        ,9.1
      krasnostawski                                                   ,11.4
      kraśnicki                                                       ,10.4
      lubartowski                                                     ,11.0
      lubelski                                                        ,5.7
      łęczyński                                                       ,5.5
      łukowski                                                        ,4.5
      opolski                                                         ,9.4
      parczewski                                                      ,7.0
      puławski                                                        ,6.4
      radzyński                                                       ,6.7
      rycki                                                           ,7.4
      świdnicki                                                       ,9.0
      tomaszowski                                                     ,7.5
      włodawski                                                       ,15.7
      zamojski                                                        ,9.1
      m. Biała Podlaska                                               ,11.0
      m. Chełm                                                        ,11.5
      m. Lublin                                                       ,5.6
      m. Zamość                                                       ,9.6
Woj. LUBUSKIE                                                         ,6.1
      gorzowski                                                       ,5.2
      krośnieński                                                     ,9.2
      międzyrzecki                                                    ,9.1
      nowosolski                                                      ,7.1
      słubicki                                                        ,3.6
      strzelecko-drezdenecki                                          ,9.9
      sulęciński                                                      ,6.5
      świebodziński                                                   ,5.1
      zielonogórski                                                   ,7.9
      żagański                                                        ,8.8
      żarski                                                          ,6.3
      wschowski                                                       ,8.7
      m. Gorzów Wielkopolski                                          ,4.0
      m. Zielona Góra                                                 ,4.0
Woj. ŁÓDZKIE                                                          ,6.1
      bełchatowski                                                    ,5.4
      kutnowski                                                       ,8.4
      łaski                                                           ,7.8
      łęczycki                                                        ,5.9
      łowicki                                                         ,5.3
      łódzki wschodni                                                 ,6.4
      opoczyński                                                      ,6.6
      pabianicki                                                      ,6.8
      pajęczański                                                     ,7.9
      piotrkowski                                                     ,5.7
      poddębicki                                                      ,6.8
      radomszczański                                                  ,5.5
      rawski                                                          ,3.7
      sieradzki                                                       ,5.8
      skierniewicki                                                   ,3.9
      tomaszowski                                                     ,7.5
      wieluński                                                       ,5.9
      wieruszowski                                                    ,5.1
      zduńskowolski                                                   ,6.8
      zgierski                                                        ,6.3
      brzeziński                                                      ,7.5
      m. Łódź                                                         ,5.9
      m. Piotrków Trybunalski                                         ,5.8
      m. Skierniewice                                                 ,6.1
