Województwa ,Stopa bezrobocia w %
POLSKA                                                                ,7.4
Woj. DOLNOŚLĄSKIE                                                     ,6.6
PODREGION 1 - JELENIOGÓRSKI,8.8
      bolesławiecki                                                   ,5.2
      jaworski                                                        ,14.4
      jeleniogórski                                                   ,10.1
      kamiennogórski                                                  ,8.8
      lubański                                                        ,10.6
      lwówecki                                                        ,15.7
      zgorzelecki                                                     ,6.7
      złotoryjski                                                     ,16.9
      m. Jelenia Góra                                                 ,3.8
PODREGION 2 - LEGNICKO-GŁOGOWSKI,7.5
      głogowski                                                       ,9.9
      górowski                                                        ,16.3
      legnicki                                                        ,12.8
      lubiński                                                        ,5.2
      polkowicki                                                      ,4.9
      m. Legnica                                                      ,6.0
PODREGION 3 - WAŁBRZYSKI,10.5
      dzierżoniowski                                                  ,9.0
      kłodzki                                                         ,14.1
      świdnicki                                                       ,7.6
      wałbrzyski                                                      ,16.5
      ząbkowicki                                                      ,12.6
      m. Wałbrzych                                                    ,8.3
PODREGION 4 - WROCŁAWSKI,6.7
      milicki                                                         ,8.6
      oleśnicki                                                       ,7.4
      oławski                                                         ,6.5
      strzeliński                                                     ,12.1
      średzki                                                         ,6.7
      trzebnicki                                                      ,7.6
      wołowski                                                        ,13.8
      wrocławski                                                      ,2.7
PODREGION 5 - M. WROCŁAW,2.7
      m. Wrocław                                                      ,2.7
Woj. KUJAWSKO-POMORSKIE                                               ,10.9
PODREGION 6 - BYDGOSKO-TORUŃSKI,6.0
      bydgoski                                                        ,7.5
      toruński                                                        ,13.7
      m. Bydgoszcz                                                    ,4.4
      m. Toruń                                                        ,5.6
PODREGION 7 - GRUDZIĄDZKI,12.4
      brodnicki                                                       ,8.8
      chełmiński                                                      ,14.8
      golubsko-dobrzyński                                             ,12.6
      grudziądzki                                                     ,15.2
      rypiński                                                        ,12.3
      wąbrzeski                                                       ,15.1
      m. Grudziądz                                                    ,12.1
PODREGION 8 - WŁOCŁAWSKI,16.7
      aleksandrowski                                                  ,14.5
      lipnowski                                                       ,18.1
      radziejowski                                                    ,18.7
      włocławski                                                      ,19.7
      m. Włocławek                                                    ,14.3
PODREGION 67 - INOWROCŁAWSKI,15.1
      inowrocławski                                                   ,16.3
      mogileński                                                      ,12.5
      nakielski                                                       ,14.4
      żniński                                                         ,14.5
PODREGION 68 - ŚWIECKI,11.8
      sępoleński                                                      ,14.8
      świecki                                                         ,9.7
      tucholski                                                       ,13.4
Woj. LUBELSKIE                                                        ,9.3
PODREGION 9 - BIALSKI,11.4
      bialski                                                         ,11.5
      parczewski                                                      ,8.4
      radzyński                                                       ,9.2
      włodawski                                                       ,16.7
      m. Biała Podlaska                                               ,12.1
PODREGION 10 - CHEŁMSKO-ZAMOJSKI,10.7
      biłgorajski                                                     ,5.6
      chełmski                                                        ,14.2
      hrubieszowski                                                   ,14.1
      krasnostawski                                                   ,12.8
      tomaszowski                                                     ,8.2
      zamojski                                                        ,10.8
      m. Chełm                                                        ,12.4
      m. Zamość                                                       ,11.7
PODREGION 11 - LUBELSKI,8.0
      lubartowski                                                     ,12.1
      lubelski                                                        ,8.0
      łęczyński                                                       ,6.2
      świdnicki                                                       ,11.5
      m. Lublin                                                       ,6.8
PODREGION 12 - PUŁAWSKI,8.5
      janowski                                                        ,9.4
      kraśnicki                                                       ,11.3
      łukowski                                                        ,5.6
