Województwa,Stopa bezrobocia w %
POLSKA                                                                ,7.1
Woj. DOLNOŚLĄSKIE                                                     ,6.3
PODREGION 1 - JELENIOGÓRSKI,8.3
      bolesławiecki                                                   ,4.8
      jaworski                                                        ,13.8
      jeleniogórski                                                   ,9.7
      kamiennogórski                                                  ,8.0
      lubański                                                        ,9.7
      lwówecki                                                        ,14.5
      zgorzelecki                                                     ,6.1
      złotoryjski                                                     ,16.3
      m. Jelenia Góra                                                 ,3.5
PODREGION 2 - LEGNICKO-GŁOGOWSKI,7.4
      głogowski                                                       ,9.7
      górowski                                                        ,15.6
      legnicki                                                        ,12.5
      lubiński                                                        ,5.4
      polkowicki                                                      ,4.8
      m. Legnica                                                      ,5.8
PODREGION 3 - WAŁBRZYSKI,9.9
      dzierżoniowski                                                  ,8.1
      kłodzki                                                         ,13.5
      świdnicki                                                       ,7.0
      wałbrzyski                                                      ,15.7
      ząbkowicki                                                      ,12.3
      m. Wałbrzych                                                    ,7.9
PODREGION 4 - WROCŁAWSKI,6.4
      milicki                                                         ,8.4
      oleśnicki                                                       ,6.9
      oławski                                                         ,6.3
      strzeliński                                                     ,12.0
      średzki                                                         ,6.6
      trzebnicki                                                      ,7.2
      wołowski                                                        ,13.3
      wrocławski                                                      ,2.6
PODREGION 5 - M. WROCŁAW,2.5
      m. Wrocław                                                      ,2.5
Woj. KUJAWSKO-POMORSKIE                                               ,10.4
PODREGION 6 - BYDGOSKO-TORUŃSKI,5.9
      bydgoski                                                        ,7.1
      toruński                                                        ,13.2
      m. Bydgoszcz                                                    ,4.3
      m. Toruń                                                        ,5.4
PODREGION 7 - GRUDZIĄDZKI,11.8
      brodnicki                                                       ,8.1
      chełmiński                                                      ,14.6
      golubsko-dobrzyński                                             ,12.2
      grudziądzki                                                     ,14.2
      rypiński                                                        ,11.6
      wąbrzeski                                                       ,14.6
      m. Grudziądz                                                    ,11.5
PODREGION 8 - WŁOCŁAWSKI,15.9
      aleksandrowski                                                  ,13.6
      lipnowski                                                       ,17.1
      radziejowski                                                    ,18.2
      włocławski                                                      ,18.8
      m. Włocławek                                                    ,13.5
