Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.7
Woj. DOLNOŚLĄSKIE                                                     ,5.1
      bolesławiecki                                                   ,3.7
      dzierżoniowski                                                  ,6.0
      głogowski                                                       ,9.3
      górowski                                                        ,14.8
      jaworski                                                        ,11.4
      jeleniogórski                                                   ,8.4
      kamiennogórski                                                  ,5.3
      kłodzki                                                         ,11.0
      legnicki                                                        ,10.8
      lubański                                                        ,7.3
      lubiński                                                        ,4.9
      lwówecki                                                        ,11.8
      milicki                                                         ,6.6
      oleśnicki                                                       ,5.5
      oławski                                                         ,5.4
      polkowicki                                                      ,4.3
      strzeliński                                                     ,10.5
      średzki                                                         ,5.7
      świdnicki                                                       ,6.0
      trzebnicki                                                      ,6.0
      wałbrzyski                                                      ,13.1
      wołowski                                                        ,11.0
      wrocławski                                                      ,1.9
      ząbkowicki                                                      ,10.5
      zgorzelecki                                                     ,4.8
      złotoryjski                                                     ,14.2
      m. Jelenia Góra                                                 ,3.2
      m. Legnica                                                      ,5.2
      m. Wrocław                                                      ,1.9
      m. Wałbrzych                                                    ,5.8
Woj. KUJAWSKO-POMORSKIE                                               ,8.6
      aleksandrowski                                                  ,11.8
      brodnicki                                                       ,6.8
      bydgoski                                                        ,5.7
      chełmiński                                                      ,12.0
      golubsko-dobrzyński                                             ,9.6
      grudziądzki                                                     ,13.0
      inowrocławski                                                   ,12.3
      lipnowski                                                       ,15.5
      mogileński                                                      ,10.5
      nakielski                                                       ,11.4
      radziejowski                                                    ,15.8
      rypiński                                                        ,9.7
      sępoleński                                                      ,11.2
      świecki                                                         ,7.0
      toruński                                                        ,11.2
      tucholski                                                       ,10.7
      wąbrzeski                                                       ,12.4
      włocławski                                                      ,15.0
      żniński                                                         ,10.2
      m. Bydgoszcz                                                    ,3.6
      m. Grudziądz                                                    ,9.4
      m. Toruń                                                        ,4.7
      m. Włocławek                                                    ,10.4
Woj. LUBELSKIE                                                        ,7.7
      bialski                                                         ,10.0
      biłgorajski                                                     ,4.6
      chełmski                                                        ,12.3
      hrubieszowski                                                   ,12.0
      janowski                                                        ,8.4
      krasnostawski                                                   ,11.3
      kraśnicki                                                       ,9.6
      lubartowski                                                     ,10.3
      lubelski                                                        ,6.4
      łęczyński                                                       ,4.9
      łukowski                                                        ,4.1
      opolski                                                         ,8.4
      parczewski                                                      ,7.1
      puławski                                                        ,5.7
      radzyński                                                       ,7.0
      rycki                                                           ,8.0
      świdnicki                                                       ,9.0
      tomaszowski                                                     ,5.6
      włodawski                                                       ,14.1
      zamojski                                                        ,8.6
      m. Biała Podlaska                                               ,10.6
      m. Chełm                                                        ,11.1
      m. Lublin                                                       ,5.5
      m. Zamość                                                       ,9.1
Woj. LUBUSKIE                                                         ,5.7
      gorzowski                                                       ,4.3
      krośnieński                                                     ,9.7
      międzyrzecki                                                    ,12.1
      nowosolski                                                      ,8.3
      słubicki                                                        ,2.4
      strzelecko-drezdenecki                                          ,10.3
      sulęciński                                                      ,6.5
      świebodziński                                                   ,4.4
      zielonogórski                                                   ,6.7
      żagański                                                        ,9.0
      żarski                                                          ,5.8
      wschowski                                                       ,7.7
      m. Gorzów Wielkopolski                                          ,2.4
      m. Zielona Góra                                                 ,3.3
Woj. ŁÓDZKIE                                                          ,6.1
      bełchatowski                                                    ,5.5
      kutnowski                                                       ,8.9
      łaski                                                           ,7.9
      łęczycki                                                        ,7.0
      łowicki                                                         ,5.3
      łódzki wschodni                                                 ,7.1
      opoczyński                                                      ,5.5
      pabianicki                                                      ,7.0
      pajęczański                                                     ,7.2
      piotrkowski                                                     ,5.5
      poddębicki                                                      ,6.4
      radomszczański                                                  ,6.1
      rawski                                                          ,3.7
      sieradzki                                                       ,5.4
      skierniewicki                                                   ,3.5
      tomaszowski                                                     ,7.0
      wieluński                                                       ,6.6
      wieruszowski                                                    ,4.5
      zduńskowolski                                                   ,6.9
      zgierski                                                        ,6.8
      brzeziński                                                      ,6.4
      m. Łódź                                                         ,5.7
      m. Piotrków Trybunalski                                         ,5.5
      m. Skierniewice                                                 ,5.5
Woj. MAŁOPOLSKIE                                                      ,4.7
      bocheński                                                       ,4.5
      brzeski                                                         ,5.5
      chrzanowski                                                     ,8.0
      dąbrowski                                                       ,10.7
      gorlicki                                                        ,5.3
      krakowski                                                       ,4.0
      limanowski                                                      ,7.7
      miechowski                                                      ,4.6
      myślenicki                                                      ,2.7
      nowosądecki                                                     ,7.9
      nowotarski                                                      ,5.5
      olkuski                                                         ,7.3
      oświęcimski                                                     ,5.4
      proszowicki                                                     ,6.3
      suski                                                           ,4.4
      tarnowski                                                       ,6.8
      tatrzański                                                      ,9.4
      wadowicki                                                       ,5.1
      wielicki                                                        ,4.7
      m. Kraków                                                       ,2.4
      m. Nowy Sącz                                                    ,3.2
      m. Tarnów                                                       ,5.2
Woj. MAZOWIECKIE                                                      ,4.9
      białobrzeski                                                    ,7.1
      ciechanowski                                                    ,9.6
      garwoliński                                                     ,8.8
      gostyniński                                                     ,13.6
      grodziski                                                       ,3.1
      grójecki                                                        ,2.1
      kozienicki                                                      ,9.9
      legionowski                                                     ,7.5
      lipski                                                          ,9.5
      łosicki                                                         ,5.0
      makowski                                                        ,16.5
      miński                                                          ,5.3
      mławski                                                         ,6.3
      nowodworski                                                     ,5.9
      ostrołęcki                                                      ,10.4
      ostrowski                                                       ,8.6
      otwocki                                                         ,4.2
      piaseczyński                                                    ,4.1
      płocki                                                          ,11.2
      płoński                                                         ,10.3
      pruszkowski                                                     ,3.5
      przasnyski                                                      ,9.4
      przysuski                                                       ,18.4
      pułtuski                                                        ,12.4
      radomski                                                        ,17.3
      siedlecki                                                       ,5.0
      sierpecki                                                       ,16.0
      sochaczewski                                                    ,6.1
      sokołowski                                                      ,5.2
      szydłowiecki                                                    ,23.3
      warszawski zachodni                                             ,2.0
      węgrowski                                                       ,6.3
      wołomiński                                                      ,7.3
      wyszkowski                                                      ,4.1
      zwoleński                                                       ,10.0
      żuromiński                                                      ,14.2
      żyrardowski                                                     ,10.3
      m. Ostrołęka                                                    ,9.0
      m. Płock                                                        ,6.7
      m. Radom                                                        ,12.1
      m. Siedlce                                                      ,5.0
      m. Warszawa                                                     ,1.6
Woj. OPOLSKIE                                                ,6.0
      brzeski                                                         ,8.5
      głubczycki                                                      ,9.4
      kędzierzyńsko-kozielski                                         ,7.5
      kluczborski                                                     ,6.7
      krapkowicki                                                     ,4.9
      namysłowski                                                     ,7.1
      nyski                                                           ,7.6
      oleski                                                          ,4.0
      opolski                                                      ,6.5
      prudnicki                                                       ,8.4
      strzelecki                                                      ,4.7
      m. Opole                                          ,3.3
Woj. PODKARPACKIE                                                     ,8.5
      bieszczadzki                                                    ,13.0
      brzozowski                                                      ,14.4
      dębicki                                                         ,5.8
      jarosławski                                                     ,11.9
      jasielski                                                       ,9.4
      kolbuszowski                                                    ,8.0
      krośnieński                                                     ,5.7
      leżajski                                                        ,13.2
      lubaczowski                                                     ,7.9
      łańcucki                                                        ,10.2
      mielecki                                                        ,4.7
      niżański                                                        ,15.9
      przemyski                                                       ,13.0
      przeworski                                                      ,11.7
      ropczycko-sędziszowski                                          ,11.8
      rzeszowski                                                      ,8.5
      sanocki                                                         ,6.5
      stalowowolski                                                   ,5.3
      strzyżowski                                                     ,13.4
      tarnobrzeski                                                    ,6.3
