Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.1
Woj. DOLNOŚLĄSKIE                                                     ,4.5
      bolesławiecki                                                   ,3.7
      dzierżoniowski                                                  ,4.9
      głogowski                                                       ,7.3
      górowski                                                        ,13.9
      jaworski                                                        ,10.6
      jeleniogórski                                                   ,8.1
      kamiennogórski                                                  ,5.6
      kłodzki                                                         ,10.8
      legnicki                                                        ,8.6
      lubański                                                        ,6.2
      lubiński                                                        ,4.0
      lwówecki                                                        ,10.8
      milicki                                                         ,6.4
      oleśnicki                                                       ,5.2
      oławski                                                         ,4.4
      polkowicki                                                      ,4.2
      strzeliński                                                     ,9.4
      średzki                                                         ,4.8
      świdnicki                                                       ,5.4
      trzebnicki                                                      ,5.0
      wałbrzyski                                                      ,12.0
      wołowski                                                        ,10.6
      wrocławski                                                      ,1.6
      ząbkowicki                                                      ,9.0
      zgorzelecki                                                     ,4.9
      złotoryjski                                                     ,12.9
      m. Jelenia Góra                                                 ,3.0
      m. Legnica                                                      ,4.2
      m. Wrocław                                                      ,1.7
      m. Wałbrzych                                                    ,4.7
Woj. KUJAWSKO-POMORSKIE                                               ,7.6
      aleksandrowski                                                  ,11.7
      brodnicki                                                       ,6.7
      bydgoski                                                        ,4.3
      chełmiński                                                      ,11.6
      golubsko-dobrzyński                                             ,9.7
      grudziądzki                                                     ,10.9
      inowrocławski                                                   ,10.6
      lipnowski                                                       ,15.3
      mogileński                                                      ,9.4
      nakielski                                                       ,10.1
      radziejowski                                                    ,15.8
      rypiński                                                        ,8.9
      sępoleński                                                      ,10.5
      świecki                                                         ,6.7
      toruński                                                        ,9.3
      tucholski                                                       ,9.3
      wąbrzeski                                                       ,10.9
      włocławski                                                      ,14.0
      żniński                                                         ,9.0
      m. Bydgoszcz                                                    ,2.9
      m. Grudziądz                                                    ,8.2
      m. Toruń                                                        ,4.0
      m. Włocławek                                                    ,9.1
Woj. LUBELSKIE                                                        ,7.2
      bialski                                                         ,9.3
      biłgorajski                                                     ,4.7
      chełmski                                                        ,11.4
      hrubieszowski                                                   ,12.5
      janowski                                                        ,8.2
      krasnostawski                                                   ,10.5
      kraśnicki                                                       ,9.7
      lubartowski                                                     ,9.9
      lubelski                                                        ,5.5
      łęczyński                                                       ,5.0
      łukowski                                                        ,4.2
      opolski                                                         ,7.9
      parczewski                                                      ,6.6
      puławski                                                        ,4.9
      radzyński                                                       ,5.6
      rycki                                                           ,6.7
      świdnicki                                                       ,8.3
      tomaszowski                                                     ,6.6
      włodawski                                                       ,14.4
      zamojski                                                        ,8.0
      m. Biała Podlaska                                               ,9.8
      m. Chełm                                                        ,10.3
      m. Lublin                                                       ,4.9
      m. Zamość                                                       ,8.4
Woj. LUBUSKIE                                                         ,4.7
      gorzowski                                                       ,3.4
      krośnieński                                                     ,7.8
      międzyrzecki                                                    ,9.1
      nowosolski                                                      ,6.1
      słubicki                                                        ,2.3
      strzelecko-drezdenecki                                          ,9.4
      sulęciński                                                      ,5.4
      świebodziński                                                   ,3.5
      zielonogórski                                                   ,5.5
