Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.5
Woj. DOLNOŚLĄSKIE                                                     ,4.9
      bolesławiecki                                                   ,4.1
      dzierżoniowski                                                  ,5.6
      głogowski                                                       ,7.3
      górowski                                                        ,15.0
      jaworski                                                        ,11.6
      jeleniogórski                                                   ,8.3
      kamiennogórski                                                  ,6.6
      kłodzki                                                         ,11.5
      legnicki                                                        ,9.4
      lubański                                                        ,7.1
      lubiński                                                        ,4.3
      lwówecki                                                        ,11.3
      milicki                                                         ,6.8
      oleśnicki                                                       ,5.6
      oławski                                                         ,4.5
      polkowicki                                                      ,4.6
      strzeliński                                                     ,10.1
      średzki                                                         ,5.1
      świdnicki                                                       ,6.2
      trzebnicki                                                      ,5.3
      wałbrzyski                                                      ,12.9
      wołowski                                                        ,11.2
      wrocławski                                                      ,1.7
      ząbkowicki                                                      ,10.1
      zgorzelecki                                                     ,5.3
      złotoryjski                                                     ,14.1
      m. Jelenia Góra                                                 ,3.4
      m. Legnica                                                      ,4.5
      m. Wrocław                                                      ,1.7
      m. Wałbrzych                                                    ,5.2
Woj. KUJAWSKO-POMORSKIE                                               ,8.2
      aleksandrowski                                                  ,12.8
      brodnicki                                                       ,7.4
      bydgoski                                                        ,4.5
      chełmiński                                                      ,12.4
      golubsko-dobrzyński                                             ,10.5
      grudziądzki                                                     ,11.7
      inowrocławski                                                   ,11.4
      lipnowski                                                       ,16.0
      mogileński                                                      ,10.2
      nakielski                                                       ,11.2
      radziejowski                                                    ,17.1
      rypiński                                                        ,10.7
      sępoleński                                                      ,11.7
      świecki                                                         ,7.3
      toruński                                                        ,10.0
      tucholski                                                       ,10.2
      wąbrzeski                                                       ,12.0
      włocławski                                                      ,14.7
      żniński                                                         ,9.9
      m. Bydgoszcz                                                    ,2.9
      m. Grudziądz                                                    ,8.7
      m. Toruń                                                        ,4.3
      m. Włocławek                                                    ,9.4
Woj. LUBELSKIE                                                        ,7.8
      bialski                                                         ,9.8
      biłgorajski                                                     ,5.2
      chełmski                                                        ,12.5
      hrubieszowski                                                   ,13.8
      janowski                                                        ,8.9
      krasnostawski                                                   ,11.5
      kraśnicki                                                       ,10.5
      lubartowski                                                     ,10.8
      lubelski                                                        ,5.9
      łęczyński                                                       ,5.7
      łukowski                                                        ,4.7
      opolski                                                         ,8.7
      parczewski                                                      ,7.1
      puławski                                                        ,5.5
      radzyński                                                       ,6.2
      rycki                                                           ,7.5
      świdnicki                                                       ,8.7
      tomaszowski                                                     ,7.5
      włodawski                                                       ,15.5
      zamojski                                                        ,8.7
      m. Biała Podlaska                                               ,10.1
      m. Chełm                                                        ,11.2
      m. Lublin                                                       ,5.2
      m. Zamość                                                       ,8.9
Woj. LUBUSKIE                                                         ,5.3
      gorzowski                                                       ,4.0
      krośnieński                                                     ,8.3
      międzyrzecki                                                    ,9.6
      nowosolski                                                      ,6.5
      słubicki                                                        ,2.8
      strzelecko-drezdenecki                                          ,10.8
      sulęciński                                                      ,6.1
      świebodziński                                                   ,3.9
      zielonogórski                                                   ,6.3
      żagański                                                        ,9.2
      żarski                                                          ,5.6
      wschowski                                                       ,8.3
      m. Gorzów Wielkopolski                                          ,2.6
      m. Zielona Góra                                                 ,2.7
Woj. ŁÓDZKIE                                                          ,5.6
      bełchatowski                                                    ,5.1
      kutnowski                                                       ,8.4
      łaski                                                           ,7.4
      łęczycki                                                        ,7.2
      łowicki                                                         ,5.0
      łódzki wschodni                                                 ,6.4
      opoczyński                                                      ,6.4
      pabianicki                                                      ,6.4
      pajęczański                                                     ,7.6
      piotrkowski                                                     ,5.1
      poddębicki                                                      ,6.4
      radomszczański                                                  ,5.8
      rawski                                                          ,3.3
      sieradzki                                                       ,5.7
      skierniewicki                                                   ,3.8
      tomaszowski                                                     ,7.1
      wieluński                                                       ,6.0
      wieruszowski                                                    ,4.4
      zduńskowolski                                                   ,6.4
      zgierski                                                        ,6.1
      brzeziński                                                      ,7.1
      m. Łódź                                                         ,4.8
      m. Piotrków Trybunalski                                         ,5.2
      m. Skierniewice                                                 ,5.6
Woj. MAŁOPOLSKIE                                                      ,4.3
      bocheński                                                       ,2.7
      brzeski                                                         ,5.0
      chrzanowski                                                     ,7.0
      dąbrowski                                                       ,10.6
      gorlicki                                                        ,5.1
      krakowski                                                       ,3.8
      limanowski                                                      ,7.4
      miechowski                                                      ,4.1
      myślenicki                                                      ,2.8
      nowosądecki                                                     ,8.3
      nowotarski                                                      ,5.7
      olkuski                                                         ,7.3
      oświęcimski                                                     ,5.5
      proszowicki                                                     ,4.4
      suski                                                           ,4.9
      tarnowski                                                       ,6.2
      tatrzański                                                      ,7.8
      wadowicki                                                       ,5.3
      wielicki                                                        ,4.4
      m. Kraków                                                       ,2.0
      m. Nowy Sącz                                                    ,2.9
      m. Tarnów                                                       ,4.5
Woj. MAZOWIECKIE                                                      ,4.6
      białobrzeski                                                    ,7.9
      ciechanowski                                                    ,9.5
      garwoliński                                                     ,8.7
      gostyniński                                                     ,12.8
      grodziski                                                       ,2.6
      grójecki                                                        ,2.2
      kozienicki                                                      ,10.2
      legionowski                                                     ,6.8
      lipski                                                          ,10.3
      łosicki                                                         ,4.5
      makowski                                                        ,16.1
      miński                                                          ,5.1
      mławski                                                         ,6.2
      nowodworski                                                     ,6.1
      ostrołęcki                                                      ,9.7
      ostrowski                                                       ,8.6
      otwocki                                                         ,3.9
      piaseczyński                                                    ,3.2
      płocki                                                          ,10.9
      płoński                                                         ,9.6
      pruszkowski                                                     ,2.9
      przasnyski                                                      ,8.9
      przysuski                                                       ,18.3
      pułtuski                                                        ,12.6
      radomski                                                        ,17.1
      siedlecki                                                       ,4.6
      sierpecki                                                       ,15.4
      sochaczewski                                                    ,4.8
      sokołowski                                                      ,5.9
      szydłowiecki                                                    ,23.9
      warszawski zachodni                                             ,1.7
      węgrowski                                                       ,6.0
      wołomiński                                                      ,6.7
      wyszkowski                                                      ,3.9
      zwoleński                                                       ,10.9
      żuromiński                                                      ,14.9
      żyrardowski                                                     ,9.8
      m. Ostrołęka                                                    ,8.6
      m. Płock                                                        ,6.6
      m. Radom                                                        ,11.5
      m. Siedlce                                                      ,4.1
      m. Warszawa                                                     ,1.3
Woj. OPOLSKIE                                                ,6.1
