Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.1
Woj. DOLNOŚLĄSKIE                                                     ,5.4
      bolesławiecki                                                   ,4.0
      dzierżoniowski                                                  ,7.1
      głogowski                                                       ,9.3
      górowski                                                        ,14.6
      jaworski                                                        ,12.4
      jeleniogórski                                                   ,8.6
      kamiennogórski                                                  ,5.4
      kłodzki                                                         ,11.6
      legnicki                                                        ,11.3
      lubański                                                        ,8.2
      lubiński                                                        ,4.6
      lwówecki                                                        ,12.4
      milicki                                                         ,6.7
      oleśnicki                                                       ,5.7
      oławski                                                         ,5.7
      polkowicki                                                      ,4.2
      strzeliński                                                     ,10.8
      średzki                                                         ,6.2
      świdnicki                                                       ,6.2
      trzebnicki                                                      ,6.1
      wałbrzyski                                                      ,13.1
      wołowski                                                        ,11.4
      wrocławski                                                      ,2.1
      ząbkowicki                                                      ,10.7
      zgorzelecki                                                     ,5.1
      złotoryjski                                                     ,14.7
      m. Jelenia Góra                                                 ,3.1
      m. Legnica                                                      ,5.2
      m. Wrocław                                                      ,2.1
      m. Wałbrzych                                                    ,6.6
Woj. KUJAWSKO-POMORSKIE                                               ,9.1
      aleksandrowski                                                  ,12.4
      brodnicki                                                       ,6.9
      bydgoski                                                        ,6.0
      chełmiński                                                      ,12.7
      golubsko-dobrzyński                                             ,10.1
      grudziądzki                                                     ,13.4
      inowrocławski                                                   ,13.5
      lipnowski                                                       ,16.2
      mogileński                                                      ,10.8
      nakielski                                                       ,12.4
      radziejowski                                                    ,16.8
      rypiński                                                        ,10.1
      sępoleński                                                      ,12.8
      świecki                                                         ,7.7
      toruński                                                        ,11.7
      tucholski                                                       ,11.7
      wąbrzeski                                                       ,12.6
      włocławski                                                      ,16.9
      żniński                                                         ,11.1
      m. Bydgoszcz                                                    ,3.7
      m. Grudziądz                                                    ,9.9
      m. Toruń                                                        ,4.8
      m. Włocławek                                                    ,11.6
Woj. LUBELSKIE                                                        ,8.1
      bialski                                                         ,10.3
      biłgorajski                                                     ,4.9
      chełmski                                                        ,13.0
      hrubieszowski                                                   ,12.6
      janowski                                                        ,8.0
      krasnostawski                                                   ,11.6
      kraśnicki                                                       ,9.8
      lubartowski                                                     ,11.1
      lubelski                                                        ,6.8
      łęczyński                                                       ,5.4
      łukowski                                                        ,4.2
      opolski                                                         ,9.2
      parczewski                                                      ,7.5
      puławski                                                        ,5.7
      radzyński                                                       ,7.1
      rycki                                                           ,8.4
      świdnicki                                                       ,9.5
      tomaszowski                                                     ,6.6
      włodawski                                                       ,15.1
      zamojski                                                        ,9.4
      m. Biała Podlaska                                               ,10.9
      m. Chełm                                                        ,11.2
      m. Lublin                                                       ,5.8
      m. Zamość                                                       ,9.9
Woj. LUBUSKIE                                                         ,6.0
      gorzowski                                                       ,4.4
      krośnieński                                                     ,11.0
      międzyrzecki                                                    ,11.6
      nowosolski                                                      ,9.5
      słubicki                                                        ,2.5
      strzelecko-drezdenecki                                          ,10.6
      sulęciński                                                      ,6.7
      świebodziński                                                   ,4.8
      zielonogórski                                                   ,6.9
      żagański                                                        ,10.3
      żarski                                                          ,6.1
      wschowski                                                       ,7.9
      m. Gorzów Wielkopolski                                          ,2.5
      m. Zielona Góra                                                 ,3.3
Woj. ŁÓDZKIE                                                          ,6.4
      bełchatowski                                                    ,5.5
      kutnowski                                                       ,9.2
      łaski                                                           ,8.5
      łęczycki                                                        ,7.3
      łowicki                                                         ,5.5
      łódzki wschodni                                                 ,7.5
      opoczyński                                                      ,5.6
      pabianicki                                                      ,7.2
      pajęczański                                                     ,7.5
      piotrkowski                                                     ,5.8
      poddębicki                                                      ,6.8
      radomszczański                                                  ,6.4
      rawski                                                          ,4.0
      sieradzki                                                       ,5.9
      skierniewicki                                                   ,3.9
      tomaszowski                                                     ,7.3
      wieluński                                                       ,6.8
      wieruszowski                                                    ,4.6
      zduńskowolski                                                   ,7.3
      zgierski                                                        ,7.2
      brzeziński                                                      ,6.7
      m. Łódź                                                         ,6.0
      m. Piotrków Trybunalski                                         ,5.7
      m. Skierniewice                                                 ,5.8
Woj. MAŁOPOLSKIE                                                      ,4.9
      bocheński                                                       ,4.7
      brzeski                                                         ,5.6
      chrzanowski                                                     ,8.1
      dąbrowski                                                       ,11.3
      gorlicki                                                        ,5.8
      krakowski                                                       ,4.4
      limanowski                                                      ,7.8
      miechowski                                                      ,5.1
      myślenicki                                                      ,2.9
      nowosądecki                                                     ,8.1
      nowotarski                                                      ,6.2
      olkuski                                                         ,7.5
      oświęcimski                                                     ,5.6
      proszowicki                                                     ,6.7
      suski                                                           ,4.4
      tarnowski                                                       ,7.0
      tatrzański                                                      ,10.1
      wadowicki                                                       ,5.2
      wielicki                                                        ,4.9
      m. Kraków                                                       ,2.6
      m. Nowy Sącz                                                    ,3.6
      m. Tarnów                                                       ,5.4
Woj. MAZOWIECKIE                                                      ,5.2
      białobrzeski                                                    ,7.6
      ciechanowski                                                    ,10.1
      garwoliński                                                     ,9.4
      gostyniński                                                     ,14.5
      grodziski                                                       ,3.2
      grójecki                                                        ,2.3
      kozienicki                                                      ,10.1
      legionowski                                                     ,7.3
      lipski                                                          ,10.0
      łosicki                                                         ,5.5
      makowski                                                        ,17.1
      miński                                                          ,5.6
      mławski                                                         ,6.7
      nowodworski                                                     ,5.9
      ostrołęcki                                                      ,11.0
      ostrowski                                                       ,9.9
      otwocki                                                         ,4.6
      piaseczyński                                                    ,4.1
      płocki                                                          ,12.0
      płoński                                                         ,10.5
      pruszkowski                                                     ,3.9
      przasnyski                                                      ,9.2
      przysuski                                                       ,18.8
      pułtuski                                                        ,13.7
      radomski                                                        ,18.1
      siedlecki                                                       ,5.6
      sierpecki                                                       ,16.5
      sochaczewski                                                    ,6.1
      sokołowski                                                      ,5.8
      szydłowiecki                                                    ,24.0
      warszawski zachodni                                             ,2.1
      węgrowski                                                       ,6.6
      wołomiński                                                      ,7.8
      wyszkowski                                                      ,5.0
      zwoleński                                                       ,10.7
      żuromiński                                                      ,14.3
      żyrardowski                                                     ,10.6
      m. Ostrołęka                                                    ,9.5
      m. Płock                                                        ,6.8
      m. Radom                                                        ,12.6
      m. Siedlce                                                      ,5.2
      m. Warszawa                                                     ,1.8
Woj. OPOLSKIE                                                ,6.3
      brzeski                                                         ,8.5
      głubczycki                                                      ,10.1
      kędzierzyńsko-kozielski                                         ,8.0
      kluczborski                                                     ,7.0
      krapkowicki                                                     ,5.0
      namysłowski                                                     ,7.6
      nyski                                                           ,8.0
      oleski                                                          ,4.2
      opolski                                                      ,6.1
      prudnicki                                                       ,8.5
      strzelecki                                                      ,4.5
      m. Opole                                          ,3.8
Woj. PODKARPACKIE                                                     ,9.0
      bieszczadzki                                                    ,14.0
      brzozowski                                                      ,15.0
      dębicki                                                         ,6.3
      jarosławski                                                     ,12.6
      jasielski                                                       ,9.9
      kolbuszowski                                                    ,8.8
      krośnieński                                                     ,6.3
      leżajski                                                        ,13.8
      lubaczowski                                                     ,8.7
      łańcucki                                                        ,10.6
      mielecki                                                        ,5.0
      niżański                                                        ,16.5
      przemyski                                                       ,13.5
      przeworski                                                      ,12.0
      ropczycko-sędziszowski                                          ,12.0
      rzeszowski                                                      ,8.9
      sanocki                                                         ,6.8
      stalowowolski                                                   ,5.5
      strzyżowski                                                     ,14.0
      tarnobrzeski                                                    ,7.4
      leski                                                           ,15.5
      m. Krosno                                                       ,2.9
      m. Przemyśl                                                     ,12.0
      m. Rzeszów                                                      ,5.5
      m. Tarnobrzeg                                                   ,9.1
Woj. PODLASKIE                                                        ,8.1
      augustowski                                                     ,9.6
      białostocki                                                     ,9.6
      bielski                                                         ,5.8
      grajewski                                                       ,13.5
      hajnowski                                                       ,7.5
      kolneński                                                       ,14.0
      łomżyński                                                       ,7.1
      moniecki                                                        ,7.6
      sejneński                                                       ,12.9
      siemiatycki                                                     ,7.4
      sokólski                                                        ,11.4
      suwalski                                                        ,4.1
      wysokomazowiecki                                                ,5.8
      zambrowski                                                      ,7.8
      m. Białystok                                                    ,6.8
      m. Łomża                                                        ,8.8
      m. Suwałki                                                      ,5.6
Woj. POMORSKIE                                                        ,5.1
      bytowski                                                        ,10.1
      chojnicki                                                       ,9.0
      człuchowski                                                     ,9.9
      gdański                                                         ,4.5
      kartuski                                                        ,3.0
      kościerski                                                      ,6.1
      kwidzyński                                                      ,5.7
      lęborski                                                        ,7.5
      malborski                                                       ,12.4
      nowodworski                                                     ,12.6
      pucki                                                           ,6.7
      słupski                                                         ,7.6
      starogardzki                                                    ,5.6
      tczewski                                                        ,6.6
      wejherowski                                                     ,6.6
      sztumski                                                        ,9.3
      m. Gdańsk                                                       ,2.8
      m. Gdynia                                                       ,2.6
      m. Słupsk                                                       ,3.8
      m. Sopot                                                        ,1.9
Woj. ŚLĄSKIE                                                          ,4.7
      będziński                                                       ,8.4
      bielski                                                         ,3.6
      cieszyński                                                      ,5.0
      częstochowski                                                   ,7.7
      gliwicki                                                        ,5.2
      kłobucki                                                        ,7.3
      lubliniecki                                                     ,6.5
      mikołowski                                                      ,3.1
      myszkowski                                                      ,7.2
      pszczyński                                                      ,2.8
      raciborski                                                      ,4.7
      rybnicki                                                        ,5.9
      tarnogórski                                                     ,6.0
      bieruńsko-lędziński                                             ,2.7
      wodzisławski                                                    ,5.4
      zawierciański                                                   ,8.2
      żywiecki                                                        ,6.7
      m. Bielsko-Biała                                                ,2.2
      m. Bytom                                                        ,10.2
      m. Chorzów                                                      ,5.3
      m. Częstochowa                                                  ,4.1
      m. Dąbrowa Górnicza                                             ,5.4
      m. Gliwice                                                      ,3.4
      m. Jastrzębie-Zdrój                                             ,4.5
      m. Jaworzno                                                     ,4.3
      m. Katowice                                                     ,1.9
      m. Mysłowice                                                    ,5.4
      m. Piekary Śląskie                                              ,7.0
      m. Ruda Śląska                                                  ,3.6
      m. Rybnik                                                       ,3.8
      m. Siemianowice Śląskie                                         ,6.3
      m. Sosnowiec                                                    ,7.4
      m. Świętochłowice                                               ,7.3
      m. Tychy                                                        ,2.7
      m. Zabrze                                                       ,6.1
      m. Żory                                                         ,4.0
Woj. ŚWIĘTOKRZYSKIE                                                   ,8.4
      buski                                                           ,4.0
      jędrzejowski                                                    ,7.8
      kazimierski                                                     ,7.3
      kielecki                                                        ,11.0
      konecki                                                         ,11.4
      opatowski                                                       ,13.6
      ostrowiecki                                                     ,11.5
      pińczowski                                                      ,6.4
      sandomierski                                                    ,6.8
      skarżyski                                                       ,15.7
      starachowicki                                                   ,8.6
      staszowski                                                      ,6.8
      włoszczowski                                                    ,5.8
      m. Kielce                                                       ,5.7
Woj. WARMIŃSKO-MAZURSKIE                                              ,10.5
      bartoszycki                                                     ,18.7
      braniewski                                                      ,20.5
      działdowski                                                     ,15.3
      elbląski                                                        ,16.6
      ełcki                                                           ,13.6
      giżycki                                                         ,8.7
      iławski                                                         ,4.3
      kętrzyński                                                      ,17.8
      lidzbarski                                                      ,15.8
      mrągowski                                                       ,9.2
      nidzicki                                                        ,8.8
      nowomiejski                                                     ,8.2
      olecki                                                          ,12.4
      olsztyński                                                      ,12.3
      ostródzki                                                       ,10.9
      piski                                                           ,13.3
      szczycieński                                                    ,9.6
      gołdapski                                                       ,10.3
      węgorzewski                                                     ,17.0
      m. Elbląg                                                       ,8.6
      m. Olsztyn                                                      ,3.8
Woj. WIELKOPOLSKIE                                                    ,3.4
      chodzieski                                                      ,7.1
      czarnkowsko-trzcianecki                                         ,4.3
      gnieźnieński                                                    ,5.6
      gostyński                                                       ,5.4
      grodziski                                                       ,4.3
      jarociński                                                      ,4.3
      kaliski                                                         ,2.5
      kępiński                                                        ,1.8
      kolski                                                          ,4.9
      koniński                                                        ,9.9
      kościański                                                      ,3.3
      krotoszyński                                                    ,3.6
      leszczyński                                                     ,3.0
      międzychodzki                                                   ,4.8
      nowotomyski                                                     ,2.3
      obornicki                                                       ,3.7
      ostrowski                                                       ,3.0
      ostrzeszowski                                                   ,4.2
      pilski                                                          ,4.7
