Województwa,Stopa bezrobocia w %
POLSKA                                                                ,8.1
Woj. DOLNOŚLĄSKIE                                                     ,7.2
PODREGION 1 - JELENIOGÓRSKI,9.8
      bolesławiecki                                                   ,5.7
      jaworski                                                        ,16.1
      jeleniogórski                                                   ,10.9
      kamiennogórski                                                  ,10.7
      lubański                                                        ,11.4
      lwówecki                                                        ,16.7
      zgorzelecki                                                     ,7.4
      złotoryjski                                                     ,18.7
      m. Jelenia Góra                                                 ,4.2
PODREGION 2 - LEGNICKO-GŁOGOWSKI,8.1
      głogowski                                                       ,10.3
      górowski                                                        ,18.3
      legnicki                                                        ,13.3
      lubiński                                                        ,6.0
      polkowicki                                                      ,5.5
      m. Legnica                                                      ,6.4
PODREGION 3 - WAŁBRZYSKI,11.7
      dzierżoniowski                                                  ,10.3
      kłodzki                                                         ,15.7
      świdnicki                                                       ,8.5
      wałbrzyski                                                      ,19.1
      ząbkowicki                                                      ,14.3
      m. Wałbrzych                                                    ,8.9
PODREGION 4 - WROCŁAWSKI,7.2
      milicki                                                         ,9.7
      oleśnicki                                                       ,8.2
      oławski                                                         ,6.8
      strzeliński                                                     ,12.7
      średzki                                                         ,7.3
      trzebnicki                                                      ,8.1
      wołowski                                                        ,14.7
      wrocławski                                                      ,2.8
PODREGION 5 - M. WROCŁAW,2.8
      m. Wrocław                                                      ,2.8
Woj. KUJAWSKO-POMORSKIE                                               ,11.9
PODREGION 6 - BYDGOSKO-TORUŃSKI,6.5
      bydgoski                                                        ,8.1
      toruński                                                        ,14.6
      m. Bydgoszcz                                                    ,4.8
      m. Toruń                                                        ,5.9
PODREGION 7 - GRUDZIĄDZKI,13.5
      brodnicki                                                       ,9.8
      chełmiński                                                      ,16.2
      golubsko-dobrzyński                                             ,14.0
      grudziądzki                                                     ,16.4
      rypiński                                                        ,13.6
      wąbrzeski                                                       ,15.9
      m. Grudziądz                                                    ,12.9
PODREGION 8 - WŁOCŁAWSKI,18.3
      aleksandrowski                                                  ,16.9
      lipnowski                                                       ,19.6
      radziejowski                                                    ,20.2
      włocławski                                                      ,21.3
      m. Włocławek                                                    ,15.5
PODREGION 67 - INOWROCŁAWSKI,16.5
      inowrocławski                                                   ,17.7
      mogileński                                                      ,14.0
      nakielski                                                       ,15.9
      żniński                                                         ,16.2
PODREGION 68 - ŚWIECKI,13.0
      sępoleński                                                      ,16.2
      świecki                                                         ,10.9
      tucholski                                                       ,14.6
Woj. LUBELSKIE                                                        ,10.2
PODREGION 9 - BIALSKI,12.4
      bialski                                                         ,12.3
      parczewski                                                      ,9.5
      radzyński                                                       ,10.0
      włodawski                                                       ,19.1
      m. Biała Podlaska                                               ,12.7
PODREGION 10 - CHEŁMSKO-ZAMOJSKI,11.7
      biłgorajski                                                     ,6.3
      chełmski                                                        ,15.6
      hrubieszowski                                                   ,15.5
      krasnostawski                                                   ,13.3
      tomaszowski                                                     ,9.7
      zamojski                                                        ,11.9
      m. Chełm                                                        ,13.0
      m. Zamość                                                       ,12.2
PODREGION 11 - LUBELSKI,8.5
      lubartowski                                                     ,13.1
      lubelski                                                        ,8.6
      łęczyński                                                       ,7.1
      świdnicki                                                       ,12.3
      m. Lublin                                                       ,7.2
PODREGION 12 - PUŁAWSKI,9.7
      janowski                                                        ,10.5
      kraśnicki                                                       ,12.4
      łukowski                                                        ,6.6
      opolski                                                         ,11.8
      puławski                                                        ,7.8
      rycki                                                           ,11.4
Woj. LUBUSKIE                                                         ,8.2
PODREGION 13 - GORZOWSKI,7.8
      gorzowski                                                       ,6.9
      międzyrzecki                                                    ,14.6
      słubicki                                                        ,4.1
      strzelecko-drezdenecki                                          ,15.8
      sulęciński                                                      ,9.5
      m. Gorzów Wielkopolski                                          ,4.1
PODREGION 14 - ZIELONOGÓRSKI,8.5
      krośnieński                                                     ,12.9
      nowosolski                                                      ,13.7
      świebodziński                                                   ,6.9
      zielonogórski                                                   ,8.5
      żagański                                                        ,14.0
      żarski                                                          ,7.4
      wschowski                                                       ,10.6
      m. Zielona Góra                                                 ,4.1
Woj. ŁÓDZKIE                                                          ,8.4
PODREGION 15 - ŁÓDZKI,9.7
      łódzki wschodni                                                 ,9.4
      pabianicki                                                      ,9.3
      zgierski                                                        ,10.1
      brzeziński                                                      ,9.6
PODREGION 16 - M. ŁÓDŹ,7.9
      m. Łódź                                                         ,7.9
PODREGION 17 - PIOTRKOWSKI,8.4
      bełchatowski                                                    ,7.5
      opoczyński                                                      ,8.8
      piotrkowski                                                     ,7.8
      radomszczański                                                  ,9.2
      tomaszowski                                                     ,9.6
      m. Piotrków Trybunalski                                         ,7.3
PODREGION 18 - SIERADZKI,8.5
      łaski                                                           ,11.4
      pajęczański                                                     ,8.7
      poddębicki                                                      ,8.8
      sieradzki                                                       ,7.7
      wieluński                                                       ,8.3
      wieruszowski                                                    ,5.6
      zduńskowolski                                                   ,9.8
PODREGION 19 - SKIERNIEWICKI,8.5
      kutnowski                                                       ,11.8
      łęczycki                                                        ,10.2
      łowicki                                                         ,7.5
      rawski                                                          ,5.4
      skierniewicki                                                   ,5.1
      m. Skierniewice                                                 ,7.8
Woj. MAŁOPOLSKIE                                                      ,6.6
PODREGION 20 - KRAKOWSKI,6.1
      bocheński                                                       ,6.1
      krakowski                                                       ,5.8
      miechowski                                                      ,6.6
      myślenicki                                                      ,5.1
      proszowicki                                                     ,7.4
      wielicki                                                        ,6.8
PODREGION 21 - M. KRAKÓW,3.5
      m. Kraków                                                       ,3.5
PODREGION 22 - NOWOSĄDECKI,8.8
      gorlicki                                                        ,8.4
      limanowski                                                      ,9.9
      nowosądecki                                                     ,10.2
      m. Nowy Sącz                                                    ,5.8
PODREGION 23 - OŚWIĘCIMSKI,8.2
      chrzanowski                                                     ,10.6
      olkuski                                                         ,9.1
      oświęcimski                                                     ,7.8
      wadowicki                                                       ,6.2
PODREGION 24 - TARNOWSKI,8.9
      brzeski                                                         ,7.8
      dąbrowski                                                       ,13.8
      tarnowski                                                       ,9.2
      m. Tarnów                                                       ,7.1
PODREGION 69 - NOWOTARSKI,8.8
      nowotarski                                                      ,9.5
      suski                                                           ,5.3
      tatrzański                                                      ,11.3
Woj. MAZOWIECKIE                                                      ,7.0
PODREGION 25 - CIECHANOWSKI,13.2
      ciechanowski                                                    ,12.9
      mławski                                                         ,9.2
      płoński                                                         ,12.0
      pułtuski                                                        ,18.3
      żuromiński                                                      ,16.9
PODREGION 26 - OSTROŁĘCKI,12.4
      makowski                                                        ,19.1
      ostrołęcki                                                      ,14.3
      ostrowski                                                       ,12.0
      przasnyski                                                      ,11.9
      wyszkowski                                                      ,6.8
      m. Ostrołęka                                                    ,12.6
PODREGION 27 - RADOMSKI,17.4
      białobrzeski                                                    ,10.0
      kozienicki                                                      ,12.7
      lipski                                                          ,12.8
      przysuski                                                       ,21.0
      radomski                                                        ,22.0
      szydłowiecki                                                    ,28.1
      zwoleński                                                       ,14.1
      m. Radom                                                        ,15.9
PODREGION 28 - M. ST. WARSZAWA,2.7
      m. Warszawa                                                     ,2.7
PODREGION 29 - WARSZAWSKI WSCHODNI,9.2
      garwoliński                                                     ,11.0
      legionowski                                                     ,11.0
      miński                                                          ,6.8
      nowodworski                                                     ,8.4
      otwocki                                                         ,6.0
      wołomiński                                                      ,11.2
PODREGION 30 - WARSZAWSKI ZACHODNI,5.5
      grodziski                                                       ,4.5
      grójecki                                                        ,3.5
      piaseczyński                                                    ,5.3
      pruszkowski                                                     ,5.2
      sochaczewski                                                    ,8.1
      warszawski zachodni                                             ,3.2
      żyrardowski                                                     ,12.6
PODREGION 70 - PŁOCKI,13.3
      gostyniński                                                     ,18.2
      płocki                                                          ,15.4
      sierpecki                                                       ,19.9
      m. Płock                                                        ,8.6
PODREGION 71 - SIEDLECKI,8.1
      łosicki                                                         ,8.0
      siedlecki                                                       ,7.6
