Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.2
Woj. DOLNOŚLĄSKIE                                                     ,5.6
      bolesławiecki                                                   ,5.5
      dzierżoniowski                                                  ,6.8
      głogowski                                                       ,7.8
      górowski                                                        ,15.7
      jaworski                                                        ,11.6
      jeleniogórski                                                   ,9.9
      kamiennogórski                                                  ,7.9
      kłodzki                                                         ,12.6
      legnicki                                                        ,9.4
      lubański                                                        ,8.7
      lubiński                                                        ,4.8
      lwówecki                                                        ,11.6
      milicki                                                         ,6.9
      oleśnicki                                                       ,6.7
      oławski                                                         ,4.9
      polkowicki                                                      ,4.9
      strzeliński                                                     ,11.0
      średzki                                                         ,6.0
      świdnicki                                                       ,6.8
      trzebnicki                                                      ,5.6
      wałbrzyski                                                      ,14.9
      wołowski                                                        ,11.7
      wrocławski                                                      ,2.3
      ząbkowicki                                                      ,10.1
      zgorzelecki                                                     ,5.7
      złotoryjski                                                     ,13.8
      m. Jelenia Góra                                                 ,4.5
      m. Legnica                                                      ,5.6
      m. Wrocław                                                      ,2.4
      m. Wałbrzych                                                    ,5.9
Woj. KUJAWSKO-POMORSKIE                                               ,8.9
      aleksandrowski                                                  ,14.4
      brodnicki                                                       ,8.2
      bydgoski                                                        ,5.1
      chełmiński                                                      ,13.3
      golubsko-dobrzyński                                             ,11.8
      grudziądzki                                                     ,12.7
      inowrocławski                                                   ,12.5
      lipnowski                                                       ,15.9
      mogileński                                                      ,10.8
      nakielski                                                       ,12.7
      radziejowski                                                    ,16.4
      rypiński                                                        ,10.5
      sępoleński                                                      ,12.3
      świecki                                                         ,7.2
      toruński                                                        ,10.7
      tucholski                                                       ,11.1
      wąbrzeski                                                       ,13.2
      włocławski                                                      ,14.8
      żniński                                                         ,10.1
      m. Bydgoszcz                                                    ,3.5
      m. Grudziądz                                                    ,11.3
      m. Toruń                                                        ,4.6
      m. Włocławek                                                    ,10.7
Woj. LUBELSKIE                                                        ,8.2
      bialski                                                         ,10.3
      biłgorajski                                                     ,5.3
      chełmski                                                        ,12.9
      hrubieszowski                                                   ,12.7
      janowski                                                        ,9.2
      krasnostawski                                                   ,11.6
      kraśnicki                                                       ,10.8
      lubartowski                                                     ,11.2
      lubelski                                                        ,5.9
      łęczyński                                                       ,5.5
      łukowski                                                        ,4.7
      opolski                                                         ,9.3
      parczewski                                                      ,7.2
      puławski                                                        ,6.6
      radzyński                                                       ,6.8
      rycki                                                           ,7.5
      świdnicki                                                       ,9.2
      tomaszowski                                                     ,7.9
      włodawski                                                       ,16.0
      zamojski                                                        ,9.4
      m. Biała Podlaska                                               ,10.9
      m. Chełm                                                        ,11.9
      m. Lublin                                                       ,5.6
      m. Zamość                                                       ,9.8
