Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.0
Woj. DOLNOŚLĄSKIE                                                     ,5.5
      bolesławiecki                                                   ,4.8
      dzierżoniowski                                                  ,6.9
      głogowski                                                       ,7.7
      górowski                                                        ,15.7
      jaworski                                                        ,11.9
      jeleniogórski                                                   ,9.2
      kamiennogórski                                                  ,7.7
      kłodzki                                                         ,12.7
      legnicki                                                        ,9.6
      lubański                                                        ,8.5
      lubiński                                                        ,5.2
      lwówecki                                                        ,11.7
      milicki                                                         ,7.5
      oleśnicki                                                       ,6.4
      oławski                                                         ,4.8
      polkowicki                                                      ,4.6
      strzeliński                                                     ,11.1
      średzki                                                         ,5.4
      świdnicki                                                       ,6.7
      trzebnicki                                                      ,5.8
      wałbrzyski                                                      ,13.8
      wołowski                                                        ,11.7
      wrocławski                                                      ,2.1
      ząbkowicki                                                      ,11.3
      zgorzelecki                                                     ,6.4
      złotoryjski                                                     ,14.9
      m. Jelenia Góra                                                 ,4.0
      m. Legnica                                                      ,4.9
      m. Wrocław                                                      ,2.1
      m. Wałbrzych                                                    ,5.8
Woj. KUJAWSKO-POMORSKIE                                               ,8.6
      aleksandrowski                                                  ,13.4
      brodnicki                                                       ,7.8
      bydgoski                                                        ,4.5
      chełmiński                                                      ,13.0
      golubsko-dobrzyński                                             ,11.1
      grudziądzki                                                     ,12.8
      inowrocławski                                                   ,12.4
      lipnowski                                                       ,14.8
      mogileński                                                      ,10.7
      nakielski                                                       ,12.2
      radziejowski                                                    ,16.4
      rypiński                                                        ,10.5
      sępoleński                                                      ,12.2
      świecki                                                         ,7.7
      toruński                                                        ,10.6
      tucholski                                                       ,11.2
      wąbrzeski                                                       ,13.1
      włocławski                                                      ,15.1
      żniński                                                         ,10.1
      m. Bydgoszcz                                                    ,3.1
      m. Grudziądz                                                    ,10.0
      m. Toruń                                                        ,4.5
      m. Włocławek                                                    ,10.4
Woj. LUBELSKIE                                                        ,8.1
      bialski                                                         ,10.0
      biłgorajski                                                     ,5.6
      chełmski                                                        ,11.9
      hrubieszowski                                                   ,13.2
      janowski                                                        ,9.2
      krasnostawski                                                   ,11.6
      kraśnicki                                                       ,10.6
      lubartowski                                                     ,11.0
      lubelski                                                        ,6.4
      łęczyński                                                       ,5.8
      łukowski                                                        ,5.0
      opolski                                                         ,9.2
      parczewski                                                      ,7.2
