Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.2
Woj. DOLNOŚLĄSKIE                                                     ,4.6
      bolesławiecki                                                   ,3.8
      dzierżoniowski                                                  ,5.1
      głogowski                                                       ,7.0
      górowski                                                        ,14.1
      jaworski                                                        ,10.8
      jeleniogórski                                                   ,8.1
      kamiennogórski                                                  ,5.8
      kłodzki                                                         ,10.9
      legnicki                                                        ,8.7
      lubański                                                        ,6.9
      lubiński                                                        ,4.0
      lwówecki                                                        ,10.9
      milicki                                                         ,6.4
      oleśnicki                                                       ,5.2
      oławski                                                         ,4.3
      polkowicki                                                      ,4.3
      strzeliński                                                     ,9.6
      średzki                                                         ,5.0
      świdnicki                                                       ,5.6
      trzebnicki                                                      ,5.1
      wałbrzyski                                                      ,12.3
      wołowski                                                        ,10.6
      wrocławski                                                      ,1.6
      ząbkowicki                                                      ,9.3
      zgorzelecki                                                     ,4.8
      złotoryjski                                                     ,13.2
      m. Jelenia Góra                                                 ,3.2
      m. Legnica                                                      ,4.1
      m. Wrocław                                                      ,1.6
      m. Wałbrzych                                                    ,4.7
Woj. KUJAWSKO-POMORSKIE                                               ,7.8
      aleksandrowski                                                  ,12.2
      brodnicki                                                       ,7.0
      bydgoski                                                        ,4.1
      chełmiński                                                      ,11.5
      golubsko-dobrzyński                                             ,9.9
      grudziądzki                                                     ,11.1
      inowrocławski                                                   ,10.9
      lipnowski                                                       ,15.4
      mogileński                                                      ,9.7
      nakielski                                                       ,10.5
      radziejowski                                                    ,16.4
      rypiński                                                        ,10.0
      sępoleński                                                      ,11.6
      świecki                                                         ,6.9
      toruński                                                        ,9.4
      tucholski                                                       ,9.7
      wąbrzeski                                                       ,11.4
      włocławski                                                      ,14.2
      żniński                                                         ,9.3
      m. Bydgoszcz                                                    ,2.8
      m. Grudziądz                                                    ,8.2
      m. Toruń                                                        ,4.1
      m. Włocławek                                                    ,9.0
Woj. LUBELSKIE                                                        ,7.4
      bialski                                                         ,9.4
      biłgorajski                                                     ,5.0
      chełmski                                                        ,11.9
      hrubieszowski                                                   ,13.2
      janowski                                                        ,8.6
      krasnostawski                                                   ,10.9
      kraśnicki                                                       ,10.1
      lubartowski                                                     ,10.3
      lubelski                                                        ,5.7
      łęczyński                                                       ,5.2
      łukowski                                                        ,4.2
      opolski                                                         ,8.2
      parczewski                                                      ,6.6
      puławski                                                        ,5.1
      radzyński                                                       ,5.8
      rycki                                                           ,7.0
      świdnicki                                                       ,8.4
      tomaszowski                                                     ,7.0
      włodawski                                                       ,15.0
      zamojski                                                        ,8.2
      m. Biała Podlaska                                               ,9.8
      m. Chełm                                                        ,10.7
      m. Lublin                                                       ,4.9
      m. Zamość                                                       ,8.7
Woj. LUBUSKIE                                                         ,4.9
      gorzowski                                                       ,3.6
      krośnieński                                                     ,8.0
      międzyrzecki                                                    ,9.4
      nowosolski                                                      ,6.1
      słubicki                                                        ,2.4
      strzelecko-drezdenecki                                          ,9.8
      sulęciński                                                      ,5.7
      świebodziński                                                   ,3.5
      zielonogórski                                                   ,5.7
      żagański                                                        ,8.6
      żarski                                                          ,5.2
      wschowski                                                       ,7.7
      m. Gorzów Wielkopolski                                          ,2.2
      m. Zielona Góra                                                 ,2.4
Woj. ŁÓDZKIE                                                          ,5.4
      bełchatowski                                                    ,4.8
      kutnowski                                                       ,8.0
      łaski                                                           ,7.1
      łęczycki                                                        ,6.6
      łowicki                                                         ,4.6
      łódzki wschodni                                                 ,6.2
      opoczyński                                                      ,5.8
      pabianicki                                                      ,6.2
      pajęczański                                                     ,7.0
      piotrkowski                                                     ,4.8
      poddębicki                                                      ,6.2
      radomszczański                                                  ,5.3
      rawski                                                          ,3.2
      sieradzki                                                       ,5.5
      skierniewicki                                                   ,3.6
      tomaszowski                                                     ,6.7
      wieluński                                                       ,5.8
      wieruszowski                                                    ,4.0
      zduńskowolski                                                   ,6.0
      zgierski                                                        ,5.7
      brzeziński                                                      ,6.8
      m. Łódź                                                         ,4.7
      m. Piotrków Trybunalski                                         ,4.9
      m. Skierniewice                                                 ,5.1
Woj. MAŁOPOLSKIE                                                      ,4.1
      bocheński                                                       ,2.6
      brzeski                                                         ,4.7
      chrzanowski                                                     ,6.4
      dąbrowski                                                       ,10.0
      gorlicki                                                        ,4.6
      krakowski                                                       ,3.7
      limanowski                                                      ,6.8
      miechowski                                                      ,3.8
      myślenicki                                                      ,2.4
      nowosądecki                                                     ,7.8
      nowotarski                                                      ,5.4
      olkuski                                                         ,6.9
      oświęcimski                                                     ,5.1
      proszowicki                                                     ,4.4
      suski                                                           ,4.7
      tarnowski                                                       ,5.7
      tatrzański                                                      ,8.0
      wadowicki                                                       ,4.9
      wielicki                                                        ,4.1
      m. Kraków                                                       ,2.0
      m. Nowy Sącz                                                    ,2.7
      m. Tarnów                                                       ,4.2
Woj. MAZOWIECKIE                                                      ,4.4
      białobrzeski                                                    ,7.4
      ciechanowski                                                    ,8.9
      garwoliński                                                     ,8.4
