Województwa,Stopa bezrobocia w %
,
POLSKA                                                                ,6.6
REGION CENTRALNY,6.0
Woj. ŁÓDZKIE                                                          ,6.8
PODREGION 15 - ŁÓDZKI                                                 ,7.9
      łódzki wschodni                                                 ,8.1
      pabianicki                                                      ,7.8
      zgierski                                                        ,7.9
      brzeziński                                                      ,7.7
PODREGION 16 - M. ŁÓDŹ                                                ,6.4
      m. Łódź                                                         ,6.4
PODREGION 17 - PIOTRKOWSKI                                            ,6.6
      bełchatowski                                                    ,5.9
      opoczyński                                                      ,6.2
      piotrkowski                                                     ,6.4
      radomszczański                                                  ,7.2
      tomaszowski                                                     ,7.9
      m. Piotrków Trybunalski                                         ,5.7
PODREGION 18 - SIERADZKI                                              ,6.9
      łaski                                                           ,9.4
      pajęczański                                                     ,7.8
      poddębicki                                                      ,7.1
      sieradzki                                                       ,6.1
      wieluński                                                       ,7.1
      wieruszowski                                                    ,4.8
      zduńskowolski                                                   ,7.5
PODREGION 19 - SKIERNIEWICKI                                          ,6.8
      kutnowski                                                       ,9.4
      łęczycki                                                        ,8.1
      łowicki                                                         ,5.8
      rawski                                                          ,4.3
      skierniewicki                                                   ,4.3
      m. Skierniewice                                                 ,6.2
Woj. MAZOWIECKIE                                                      ,5.6
PODREGION 25 - CIECHANOWSKI                                           ,10.8
      ciechanowski                                                    ,10.8
      mławski                                                         ,7.0
      płoński                                                         ,10.5
      pułtuski                                                        ,13.4
      żuromiński                                                      ,15.3
PODREGION 26 - OSTROŁĘCKI                                             ,10.4
      makowski                                                        ,18.3
      ostrołęcki                                                      ,11.8
      ostrowski                                                       ,9.8
      przasnyski                                                      ,9.8
      wyszkowski                                                      ,5.3
      m. Ostrołęka                                                    ,10.4
PODREGION 27 - RADOMSKI                                               ,15.0
      białobrzeski                                                    ,8.2
      kozienicki                                                      ,11.2
      lipski                                                          ,11.0
      przysuski                                                       ,19.5
      radomski                                                        ,19.0
      szydłowiecki                                                    ,25.8
      zwoleński                                                       ,11.8
      m. Radom                                                        ,13.2
PODREGION 28 - M. ST. WARSZAWA                                        ,2.0
      m. Warszawa                                                     ,2.0
PODREGION 29 - WARSZAWSKI WSCHODNI                                    ,7.2
      garwoliński                                                     ,10.0
      legionowski                                                     ,7.8
      miński                                                          ,5.4
      nowodworski                                                     ,6.1
      otwocki                                                         ,4.9
      wołomiński                                                      ,8.5
PODREGION 30 - WARSZAWSKI ZACHODNI                                    ,4.4
      grodziski                                                       ,3.3
      grójecki                                                        ,2.4
      piaseczyński                                                    ,4.6
      pruszkowski                                                     ,4.1
      sochaczewski                                                    ,6.7
      warszawski zachodni                                             ,2.4
      żyrardowski                                                     ,11.0
PODREGION 70 - PŁOCKI                                                 ,11.4
      gostyniński                                                     ,16.3
      płocki                                                          ,13.0
      sierpecki                                                       ,17.3
      m. Płock                                                        ,7.2
PODREGION 71 - SIEDLECKI                                              ,6.2
      łosicki                                                         ,6.3
      siedlecki                                                       ,6.2
      sokołowski                                                      ,6.4
      węgrowski                                                       ,7.2
      m. Siedlce                                                      ,5.4
REGION POŁUDNIOWY,5.3
Woj. MAŁOPOLSKIE                                                      ,5.4
PODREGION 20 - KRAKOWSKI                                              ,4.8
      bocheński                                                       ,5.2
      krakowski                                                       ,4.8
      miechowski                                                      ,5.4
      myślenicki                                                      ,3.1
      proszowicki                                                     ,7.0
      wielicki                                                        ,5.1
PODREGION 21 - M. KRAKÓW                                              ,2.8
      m. Kraków                                                       ,2.8
PODREGION 22 - NOWOSĄDECKI                                            ,7.2
      gorlicki                                                        ,6.4
      limanowski                                                      ,8.4
      nowosądecki                                                     ,8.7
      m. Nowy Sącz                                                    ,4.1
PODREGION 23 - OŚWIĘCIMSKI                                            ,7.0
      chrzanowski                                                     ,8.6
      olkuski                                                         ,8.2
      oświęcimski                                                     ,6.1
      wadowicki                                                       ,5.6
PODREGION 24 - TARNOWSKI                                              ,7.6
      brzeski                                                         ,6.6
      dąbrowski                                                       ,12.1
      tarnowski                                                       ,8.1
      m. Tarnów                                                       ,5.9
PODREGION 69 - NOWOTARSKI                                             ,7.3
      nowotarski                                                      ,7.1
      suski                                                           ,4.8
      tatrzański                                                      ,10.5
Woj. ŚLĄSKIE                                                          ,5.2
PODREGION 44 - BIELSKI                                                ,4.3
      bielski                                                         ,4.0
      cieszyński                                                      ,5.3
      żywiecki                                                        ,7.0
      m. Bielsko-Biała                                                ,2.3
PODREGION 45 - BYTOMSKI                                               ,8.2
      lubliniecki                                                     ,6.9
      tarnogórski                                                     ,6.4
      m. Bytom                                                        ,11.2
      m. Piekary Śląskie                                              ,7.2
PODREGION 46 - CZĘSTOCHOWSKI                                          ,6.3
      częstochowski                                                   ,8.7
      kłobucki                                                        ,7.4
      myszkowski                                                      ,8.4
      m. Częstochowa                                                  ,4.5
PODREGION 47 - GLIWICKI                                               ,4.8
      gliwicki                                                        ,5.8
      m. Gliwice                                                      ,3.6
      m. Zabrze                                                       ,6.6
PODREGION 48 - KATOWICKI                                              ,3.6
      m. Chorzów                                                      ,5.9
      m. Katowice                                                     ,2.2
      m. Mysłowice                                                    ,5.7
      m. Ruda Śląska                                                  ,3.9
      m. Siemianowice Śląskie                                         ,6.5
      m. Świętochłowice                                               ,8.1
PODREGION 49 - RYBNICKI                                               ,5.3
      raciborski                                                      ,5.3
      rybnicki                                                        ,6.9
      wodzisławski                                                    ,6.1
      m. Jastrzębie-Zdrój                                             ,5.3
      m. Rybnik                                                       ,4.3
      m. Żory                                                         ,4.5
PODREGION 50 - SOSNOWIECKI                                            ,7.5
      będziński                                                       ,8.9
      zawierciański                                                   ,9.1
      m. Dąbrowa Górnicza                                             ,6.0
      m. Jaworzno                                                     ,4.8
      m. Sosnowiec                                                    ,8.0
PODREGION 51 - TYSKI                                                  ,3.0
      mikołowski                                                      ,3.3
      pszczyński                                                      ,3.3
      bieruńsko-lędziński                                             ,2.8
      m. Tychy                                                        ,2.7
REGION WSCHODNI,9.1
Woj. LUBELSKIE                                                        ,8.8
PODREGION 9 - BIALSKI                                                 ,10.5
      bialski                                                         ,10.3
      parczewski                                                      ,8.1
      radzyński                                                       ,8.2
      włodawski                                                       ,16.6
      m. Biała Podlaska                                               ,11.1
PODREGION 10 - CHEŁMSKO-ZAMOJSKI                                      ,10.5
      biłgorajski                                                     ,5.7
      chełmski                                                        ,14.1
      hrubieszowski                                                   ,14.2
      krasnostawski                                                   ,12.7
      tomaszowski                                                     ,8.0
      zamojski                                                        ,10.7
      m. Chełm                                                        ,12.1
      m. Zamość                                                       ,10.8
PODREGION 11 - LUBELSKI                                               ,7.4
      lubartowski                                                     ,11.9
      lubelski                                                        ,7.3
      łęczyński                                                       ,6.0
      świdnicki                                                       ,10.2
      m. Lublin                                                       ,6.2
