Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.5
Woj. DOLNOŚLĄSKIE                                                     ,4.9
      bolesławiecki                                                   ,4.1
      dzierżoniowski                                                  ,5.8
      głogowski                                                       ,7.2
      górowski                                                        ,15.0
      jaworski                                                        ,11.4
      jeleniogórski                                                   ,8.6
      kamiennogórski                                                  ,6.7
      kłodzki                                                         ,11.4
      legnicki                                                        ,8.9
      lubański                                                        ,7.1
      lubiński                                                        ,4.3
      lwówecki                                                        ,11.1
      milicki                                                         ,6.6
      oleśnicki                                                       ,5.4
      oławski                                                         ,4.3
      polkowicki                                                      ,4.5
      strzeliński                                                     ,10.1
      średzki                                                         ,5.0
      świdnicki                                                       ,6.0
      trzebnicki                                                      ,5.2
      wałbrzyski                                                      ,13.0
      wołowski                                                        ,11.1
      wrocławski                                                      ,1.7
      ząbkowicki                                                      ,10.1
      zgorzelecki                                                     ,5.4
      złotoryjski                                                     ,13.5
      m. Jelenia Góra                                                 ,3.5
      m. Legnica                                                      ,4.4
      m. Wrocław                                                      ,1.7
      m. Wałbrzych                                                    ,5.4
Woj. KUJAWSKO-POMORSKIE                                               ,8.1
      aleksandrowski                                                  ,12.7
      brodnicki                                                       ,7.4
      bydgoski                                                        ,4.3
      chełmiński                                                      ,12.1
      golubsko-dobrzyński                                             ,10.4
      grudziądzki                                                     ,11.9
      inowrocławski                                                   ,11.5
      lipnowski                                                       ,15.3
      mogileński                                                      ,10.3
      nakielski                                                       ,11.1
      radziejowski                                                    ,16.6
      rypiński                                                        ,10.5
      sępoleński                                                      ,11.3
      świecki                                                         ,7.2
      toruński                                                        ,9.8
      tucholski                                                       ,10.0
      wąbrzeski                                                       ,12.2
      włocławski                                                      ,14.6
      żniński                                                         ,10.0
      m. Bydgoszcz                                                    ,2.9
      m. Grudziądz                                                    ,8.8
      m. Toruń                                                        ,4.2
      m. Włocławek                                                    ,9.3
Woj. LUBELSKIE                                                        ,7.7
      bialski                                                         ,9.6
      biłgorajski                                                     ,5.2
      chełmski                                                        ,12.1
      hrubieszowski                                                   ,13.3
      janowski                                                        ,8.7
      krasnostawski                                                   ,11.3
      kraśnicki                                                       ,10.4
      lubartowski                                                     ,10.7
      lubelski                                                        ,5.7
      łęczyński                                                       ,5.5
      łukowski                                                        ,4.6
      opolski                                                         ,8.9
      parczewski                                                      ,7.0
      puławski                                                        ,5.5
      radzyński                                                       ,6.2
      rycki                                                           ,7.4
      świdnicki                                                       ,8.9
      tomaszowski                                                     ,7.3
      włodawski                                                       ,14.9
      zamojski                                                        ,8.5
      m. Biała Podlaska                                               ,10.0
      m. Chełm                                                        ,10.9
      m. Lublin                                                       ,5.1
      m. Zamość                                                       ,8.7
Woj. LUBUSKIE                                                         ,5.2
      gorzowski                                                       ,4.0
      krośnieński                                                     ,8.1
      międzyrzecki                                                    ,9.8
      nowosolski                                                      ,6.7
      słubicki                                                        ,2.9
      strzelecko-drezdenecki                                          ,10.9
      sulęciński                                                      ,6.1
      świebodziński                                                   ,4.0
      zielonogórski                                                   ,6.2
      żagański                                                        ,8.8
      żarski                                                          ,5.5
      wschowski                                                       ,8.3
      m. Gorzów Wielkopolski                                          ,2.5
      m. Zielona Góra                                                 ,2.7
Woj. ŁÓDZKIE                                                          ,5.6
      bełchatowski                                                    ,5.0
      kutnowski                                                       ,8.4
      łaski                                                           ,7.2
      łęczycki                                                        ,6.9
      łowicki                                                         ,5.0
      łódzki wschodni                                                 ,6.4
      opoczyński                                                      ,6.3
      pabianicki                                                      ,6.6
      pajęczański                                                     ,7.5
      piotrkowski                                                     ,5.1
      poddębicki                                                      ,6.4
      radomszczański                                                  ,5.8
      rawski                                                          ,3.2
      sieradzki                                                       ,5.6
      skierniewicki                                                   ,3.9
      tomaszowski                                                     ,7.2
      wieluński                                                       ,6.0
      wieruszowski                                                    ,4.3
      zduńskowolski                                                   ,6.4
      zgierski                                                        ,6.0
      brzeziński                                                      ,6.9
      m. Łódź                                                         ,4.8
      m. Piotrków Trybunalski                                         ,5.3
      m. Skierniewice                                                 ,5.6
Woj. MAŁOPOLSKIE                                                      ,4.4
      bocheński                                                       ,2.8
      brzeski                                                         ,5.1
      chrzanowski                                                     ,6.9
      dąbrowski                                                       ,10.6
      gorlicki                                                        ,5.1
      krakowski                                                       ,3.8
      limanowski                                                      ,7.1
      miechowski                                                      ,4.2
      myślenicki                                                      ,2.9
      nowosądecki                                                     ,8.2
      nowotarski                                                      ,5.7
      olkuski                                                         ,7.5
      oświęcimski                                                     ,5.5
      proszowicki                                                     ,4.3
      suski                                                           ,4.7
      tarnowski                                                       ,6.3
      tatrzański                                                      ,7.7
      wadowicki                                                       ,5.4
      wielicki                                                        ,4.5
      m. Kraków                                                       ,2.1
      m. Nowy Sącz                                                    ,3.1
      m. Tarnów                                                       ,4.6
Woj. MAZOWIECKIE                                                      ,4.6
      białobrzeski                                                    ,7.9
      ciechanowski                                                    ,9.6
      garwoliński                                                     ,8.6
      gostyniński                                                     ,12.7
      grodziski                                                       ,2.8
      grójecki                                                        ,2.2
      kozienicki                                                      ,10.3
      legionowski                                                     ,6.8
      lipski                                                          ,10.0
      łosicki                                                         ,4.6
      makowski                                                        ,15.9
      miński                                                          ,5.1
      mławski                                                         ,6.1
      nowodworski                                                     ,6.0
      ostrołęcki                                                      ,9.8
      ostrowski                                                       ,8.7
      otwocki                                                         ,3.9
      piaseczyński                                                    ,3.2
      płocki                                                          ,10.9
      płoński                                                         ,9.5
      pruszkowski                                                     ,2.9
      przasnyski                                                      ,8.9
      przysuski                                                       ,17.8
      pułtuski                                                        ,12.9
      radomski                                                        ,17.1
      siedlecki                                                       ,4.6
      sierpecki                                                       ,15.1
      sochaczewski                                                    ,5.0
      sokołowski                                                      ,6.0
      szydłowiecki                                                    ,23.9
      warszawski zachodni                                             ,1.8
      węgrowski                                                       ,6.2
      wołomiński                                                      ,6.7
      wyszkowski                                                      ,3.6
      zwoleński                                                       ,10.5
      żuromiński                                                      ,14.8
      żyrardowski                                                     ,9.7
      m. Ostrołęka                                                    ,8.6
      m. Płock                                                        ,6.5
      m. Radom                                                        ,11.3
      m. Siedlce                                                      ,4.1
      m. Warszawa                                                     ,1.3
Woj. OPOLSKIE                                                ,6.0
