Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.3
Woj. DOLNOŚLĄSKIE                                                     ,4.7
      bolesławiecki                                                   ,4.0
      dzierżoniowski                                                  ,5.0
      głogowski                                                       ,8.5
      górowski                                                        ,13.6
      jaworski                                                        ,11.5
      jeleniogórski                                                   ,8.3
      kamiennogórski                                                  ,5.5
      kłodzki                                                         ,10.6
      legnicki                                                        ,9.6
      lubański                                                        ,6.3
      lubiński                                                        ,4.3
      lwówecki                                                        ,11.1
      milicki                                                         ,6.4
      oleśnicki                                                       ,5.0
      oławski                                                         ,5.0
      polkowicki                                                      ,4.2
      strzeliński                                                     ,9.5
      średzki                                                         ,5.3
      świdnicki                                                       ,5.4
      trzebnicki                                                      ,5.5
      wałbrzyski                                                      ,11.9
      wołowski                                                        ,10.7
      wrocławski                                                      ,1.7
      ząbkowicki                                                      ,9.9
      zgorzelecki                                                     ,4.7
      złotoryjski                                                     ,13.3
      m. Jelenia Góra                                                 ,3.1
      m. Legnica                                                      ,4.6
      m. Wrocław                                                      ,1.7
      m. Wałbrzych                                                    ,5.0
Woj. KUJAWSKO-POMORSKIE                                               ,7.9
      aleksandrowski                                                  ,11.2
      brodnicki                                                       ,6.6
      bydgoski                                                        ,4.9
      chełmiński                                                      ,11.0
      golubsko-dobrzyński                                             ,9.5
      grudziądzki                                                     ,11.7
      inowrocławski                                                   ,11.5
      lipnowski                                                       ,14.3
      mogileński                                                      ,9.7
      nakielski                                                       ,10.7
      radziejowski                                                    ,15.6
      rypiński                                                        ,9.7
      sępoleński                                                      ,11.1
      świecki                                                         ,6.5
      toruński                                                        ,9.9
      tucholski                                                       ,9.3
      wąbrzeski                                                       ,11.1
      włocławski                                                      ,14.3
      żniński                                                         ,9.2
      m. Bydgoszcz                                                    ,3.3
      m. Grudziądz                                                    ,8.2
      m. Toruń                                                        ,4.2
      m. Włocławek                                                    ,9.1
Woj. LUBELSKIE                                                        ,7.3
      bialski                                                         ,9.8
      biłgorajski                                                     ,4.6
      chełmski                                                        ,12.2
      hrubieszowski                                                   ,12.1
      janowski                                                        ,7.7
      krasnostawski                                                   ,10.8
      kraśnicki                                                       ,9.3
      lubartowski                                                     ,9.7
      lubelski                                                        ,6.0
      łęczyński                                                       ,4.7
      łukowski                                                        ,3.7
      opolski                                                         ,8.3
      parczewski                                                      ,6.7
      puławski                                                        ,5.4
      radzyński                                                       ,6.2
      rycki                                                           ,7.3
      świdnicki                                                       ,8.5
      tomaszowski                                                     ,5.8
      włodawski                                                       ,14.1
      zamojski                                                        ,8.1
      m. Biała Podlaska                                               ,10.4
      m. Chełm                                                        ,10.4
      m. Lublin                                                       ,5.2
      m. Zamość                                                       ,8.6
Woj. LUBUSKIE                                                         ,5.1
      gorzowski                                                       ,3.8
      krośnieński                                                     ,8.4
      międzyrzecki                                                    ,10.6
      nowosolski                                                      ,7.2
      słubicki                                                        ,2.4
      strzelecko-drezdenecki                                          ,9.0
      sulęciński                                                      ,5.5
      świebodziński                                                   ,4.1
      zielonogórski                                                   ,6.1
      żagański                                                        ,8.3
      żarski                                                          ,5.1
      wschowski                                                       ,7.0
      m. Gorzów Wielkopolski                                          ,2.3
      m. Zielona Góra                                                 ,3.0
Woj. ŁÓDZKIE                                                          ,5.6
      bełchatowski                                                    ,5.1
      kutnowski                                                       ,8.4
