Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.0
Woj. DOLNOŚLĄSKIE                                                     ,4.5
      bolesławiecki                                                   ,3.8
      dzierżoniowski                                                  ,4.8
      głogowski                                                       ,7.2
      górowski                                                        ,13.3
      jaworski                                                        ,10.7
      jeleniogórski                                                   ,7.9
      kamiennogórski                                                  ,5.7
      kłodzki                                                         ,10.6
      legnicki                                                        ,8.9
      lubański                                                        ,6.2
      lubiński                                                        ,4.0
      lwówecki                                                        ,10.8
      milicki                                                         ,6.1
      oleśnicki                                                       ,5.2
      oławski                                                         ,4.7
      polkowicki                                                      ,4.2
      strzeliński                                                     ,9.5
      średzki                                                         ,4.7
      świdnicki                                                       ,5.2
      trzebnicki                                                      ,5.1
      wałbrzyski                                                      ,11.8
      wołowski                                                        ,10.5
      wrocławski                                                      ,1.6
      ząbkowicki                                                      ,9.0
      zgorzelecki                                                     ,5.0
      złotoryjski                                                     ,12.6
      m. Jelenia Góra                                                 ,3.0
      m. Legnica                                                      ,4.4
      m. Wrocław                                                      ,1.6
      m. Wałbrzych                                                    ,4.6
Woj. KUJAWSKO-POMORSKIE                                               ,7.5
      aleksandrowski                                                  ,11.4
      brodnicki                                                       ,6.6
      bydgoski                                                        ,4.4
      chełmiński                                                      ,11.6
      golubsko-dobrzyński                                             ,9.6
      grudziądzki                                                     ,10.7
      inowrocławski                                                   ,10.6
      lipnowski                                                       ,14.7
      mogileński                                                      ,9.4
      nakielski                                                       ,10.0
      radziejowski                                                    ,15.5
      rypiński                                                        ,8.8
      sępoleński                                                      ,10.2
      świecki                                                         ,6.5
      toruński                                                        ,9.5
      tucholski                                                       ,9.0
      wąbrzeski                                                       ,10.8
      włocławski                                                      ,13.5
      żniński                                                         ,8.9
      m. Bydgoszcz                                                    ,3.0
      m. Grudziądz                                                    ,8.1
      m. Toruń                                                        ,3.9
      m. Włocławek                                                    ,9.0
Woj. LUBELSKIE                                                        ,7.1
      bialski                                                         ,9.2
      biłgorajski                                                     ,4.4
      chełmski                                                        ,11.1
      hrubieszowski                                                   ,12.4
      janowski                                                        ,8.1
      krasnostawski                                                   ,10.5
      kraśnicki                                                       ,9.5
      lubartowski                                                     ,9.8
      lubelski                                                        ,5.6
      łęczyński                                                       ,4.9
      łukowski                                                        ,3.9
      opolski                                                         ,7.8
      parczewski                                                      ,6.6
      puławski                                                        ,4.8
      radzyński                                                       ,5.6
      rycki                                                           ,6.7
      świdnicki                                                       ,8.2
      tomaszowski                                                     ,6.1
      włodawski                                                       ,14.2
      zamojski                                                        ,7.8
      m. Biała Podlaska                                               ,9.8
      m. Chełm                                                        ,10.1
      m. Lublin                                                       ,4.8
      m. Zamość                                                       ,8.4
Woj. LUBUSKIE                                                         ,4.7
      gorzowski                                                       ,3.3
      krośnieński                                                     ,8.0
      międzyrzecki                                                    ,9.5
      nowosolski                                                      ,6.2
      słubicki                                                        ,2.2
      strzelecko-drezdenecki                                          ,9.4
      sulęciński                                                      ,5.3
      świebodziński                                                   ,3.4
      zielonogórski                                                   ,5.4
      żagański                                                        ,8.0
      żarski                                                          ,4.8
      wschowski                                                       ,7.2
      m. Gorzów Wielkopolski                                          ,2.2
      m. Zielona Góra                                                 ,2.6
Woj. ŁÓDZKIE                                                          ,5.3
      bełchatowski                                                    ,4.8
      kutnowski                                                       ,8.1
      łaski                                                           ,6.8
      łęczycki                                                        ,6.5
      łowicki                                                         ,4.5
      łódzki wschodni                                                 ,6.2
      opoczyński                                                      ,5.3
      pabianicki                                                      ,6.2
      pajęczański                                                     ,6.8
      piotrkowski                                                     ,4.7
      poddębicki                                                      ,5.8
      radomszczański                                                  ,5.3
      rawski                                                          ,3.1
      sieradzki                                                       ,5.1
      skierniewicki                                                   ,3.6
      tomaszowski                                                     ,6.3
      wieluński                                                       ,5.4
      wieruszowski                                                    ,4.0
      zduńskowolski                                                   ,6.0
      zgierski                                                        ,5.7
      brzeziński                                                      ,6.5
      m. Łódź                                                         ,4.8
      m. Piotrków Trybunalski                                         ,4.9
      m. Skierniewice                                                 ,5.1
Woj. MAŁOPOLSKIE                                                      ,4.0
      bocheński                                                       ,2.5
      brzeski                                                         ,4.7
      chrzanowski                                                     ,6.3
      dąbrowski                                                       ,9.5
      gorlicki                                                        ,4.5
      krakowski                                                       ,3.6
      limanowski                                                      ,6.4
      miechowski                                                      ,3.8
      myślenicki                                                      ,2.3
      nowosądecki                                                     ,7.6
      nowotarski                                                      ,5.1
      olkuski                                                         ,6.7
      oświęcimski                                                     ,5.0
      proszowicki                                                     ,4.4
      suski                                                           ,4.4
      tarnowski                                                       ,5.4
      tatrzański                                                      ,8.3
      wadowicki                                                       ,4.6
      wielicki                                                        ,4.1
      m. Kraków                                                       ,2.0
      m. Nowy Sącz                                                    ,2.5
      m. Tarnów                                                       ,4.2
Woj. MAZOWIECKIE                                                      ,4.3
      białobrzeski                                                    ,6.8
      ciechanowski                                                    ,8.4
      garwoliński                                                     ,8.2
      gostyniński                                                     ,10.8
      grodziski                                                       ,2.4
      grójecki                                                        ,2.0
      kozienicki                                                      ,9.3
      legionowski                                                     ,6.5
      lipski                                                          ,8.9
      łosicki                                                         ,3.9
      makowski                                                        ,15.4
      miński                                                          ,4.7
      mławski                                                         ,5.6
      nowodworski                                                     ,5.7
      ostrołęcki                                                      ,9.2
