Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.9
Woj. DOLNOŚLĄSKIE                                                     ,5.2
      bolesławiecki                                                   ,3.8
      dzierżoniowski                                                  ,6.6
      głogowski                                                       ,9.2
      górowski                                                        ,15.0
      jaworski                                                        ,11.9
      jeleniogórski                                                   ,8.6
      kamiennogórski                                                  ,5.3
      kłodzki                                                         ,11.2
      legnicki                                                        ,11.2
      lubański                                                        ,7.9
      lubiński                                                        ,4.5
      lwówecki                                                        ,11.8
      milicki                                                         ,6.4
      oleśnicki                                                       ,5.5
      oławski                                                         ,5.6
      polkowicki                                                      ,4.0
      strzeliński                                                     ,10.6
      średzki                                                         ,5.9
      świdnicki                                                       ,5.9
      trzebnicki                                                      ,5.9
      wałbrzyski                                                      ,12.8
      wołowski                                                        ,11.1
      wrocławski                                                      ,2.0
      ząbkowicki                                                      ,10.4
      zgorzelecki                                                     ,4.8
      złotoryjski                                                     ,14.3
      m. Jelenia Góra                                                 ,3.0
      m. Legnica                                                      ,5.1
      m. Wrocław                                                      ,2.0
      m. Wałbrzych                                                    ,6.4
Woj. KUJAWSKO-POMORSKIE                                               ,8.9
      aleksandrowski                                                  ,12.0
      brodnicki                                                       ,6.7
      bydgoski                                                        ,6.0
      chełmiński                                                      ,12.5
      golubsko-dobrzyński                                             ,9.4
      grudziądzki                                                     ,13.3
      inowrocławski                                                   ,13.0
      lipnowski                                                       ,15.5
      mogileński                                                      ,10.5
      nakielski                                                       ,11.8
      radziejowski                                                    ,16.5
      rypiński                                                        ,10.0
      sępoleński                                                      ,12.3
      świecki                                                         ,7.2
      toruński                                                        ,11.2
      tucholski                                                       ,11.5
      wąbrzeski                                                       ,12.6
      włocławski                                                      ,16.5
      żniński                                                         ,10.7
      m. Bydgoszcz                                                    ,3.7
      m. Grudziądz                                                    ,9.5
      m. Toruń                                                        ,4.7
      m. Włocławek                                                    ,11.3
Woj. LUBELSKIE                                                        ,7.9
      bialski                                                         ,10.3
      biłgorajski                                                     ,4.8
      chełmski                                                        ,12.7
      hrubieszowski                                                   ,12.4
      janowski                                                        ,8.1
      krasnostawski                                                   ,11.4
      kraśnicki                                                       ,9.8
      lubartowski                                                     ,10.7
      lubelski                                                        ,6.5
      łęczyński                                                       ,5.3
      łukowski                                                        ,4.1
      opolski                                                         ,8.7
      parczewski                                                      ,7.3
      puławski                                                        ,5.6
      radzyński                                                       ,7.0
