Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.5
REGION CENTRALNY,5.9
Woj. ŁÓDZKIE                                                          ,6.7
PODREGION 15 - ŁÓDZKI,7.7
      łódzki wschodni                                                 ,7.9
      pabianicki                                                      ,7.5
      zgierski                                                        ,7.7
      brzeziński                                                      ,7.8
PODREGION 16 - M. ŁÓDŹ,6.4
      m. Łódź                                                         ,6.4
PODREGION 17 - PIOTRKOWSKI,6.5
      bełchatowski                                                    ,5.8
      opoczyński                                                      ,6.3
      piotrkowski                                                     ,6.3
      radomszczański                                                  ,7.3
      tomaszowski                                                     ,7.4
      m. Piotrków Trybunalski                                         ,5.7
PODREGION 18 - SIERADZKI,6.8
      łaski                                                           ,8.9
      pajęczański                                                     ,7.9
      poddębicki                                                      ,7.0
      sieradzki                                                       ,6.1
      wieluński                                                       ,6.9
      wieruszowski                                                    ,4.7
      zduńskowolski                                                   ,7.5
PODREGION 19 - SKIERNIEWICKI,6.7
      kutnowski                                                       ,9.4
      łęczycki                                                        ,7.8
      łowicki                                                         ,5.7
      rawski                                                          ,4.2
      skierniewicki                                                   ,4.3
      m. Skierniewice                                                 ,6.2
Woj. MAZOWIECKIE                                                      ,5.6
PODREGION 25 - CIECHANOWSKI,10.6
      ciechanowski                                                    ,10.5
      mławski                                                         ,6.8
      płoński                                                         ,10.4
      pułtuski                                                        ,13.3
      żuromiński                                                      ,14.9
PODREGION 26 - OSTROŁĘCKI,10.5
      makowski                                                        ,18.2
      ostrołęcki                                                      ,11.9
      ostrowski                                                       ,9.9
      przasnyski                                                      ,9.5
      wyszkowski                                                      ,5.4
      m. Ostrołęka                                                    ,10.4
PODREGION 27 - RADOMSKI,14.8
      białobrzeski                                                    ,7.8
      kozienicki                                                      ,10.7
      lipski                                                          ,10.8
      przysuski                                                       ,19.0
      radomski                                                        ,18.8
      szydłowiecki                                                    ,25.6
      zwoleński                                                       ,11.2
      m. Radom                                                        ,13.2
PODREGION 28 - M. ST. WARSZAWA,2.1
      m. Warszawa                                                     ,2.1
PODREGION 29 - WARSZAWSKI WSCHODNI,7.2
      garwoliński                                                     ,9.8
      legionowski                                                     ,7.9
      miński                                                          ,5.4
      nowodworski                                                     ,6.0
      otwocki                                                         ,4.9
      wołomiński                                                      ,8.6
PODREGION 30 - WARSZAWSKI ZACHODNI,4.4
      grodziski                                                       ,3.3
      grójecki                                                        ,2.2
      piaseczyński                                                    ,4.4
      pruszkowski                                                     ,4.2
      sochaczewski                                                    ,6.7
      warszawski zachodni                                             ,2.4
      żyrardowski                                                     ,11.0
PODREGION 70 - PŁOCKI,11.2
      gostyniński                                                     ,15.9
      płocki                                                          ,12.8
      sierpecki                                                       ,17.0
      m. Płock                                                        ,7.2
PODREGION 71 - SIEDLECKI,6.2
      łosicki                                                         ,6.3
      siedlecki                                                       ,6.2
      sokołowski                                                      ,6.0
      węgrowski                                                       ,7.2
      m. Siedlce                                                      ,5.6
REGION POŁUDNIOWY,5.2
Woj. MAŁOPOLSKIE                                                      ,5.3
PODREGION 20 - KRAKOWSKI,4.8
      bocheński                                                       ,5.1
      krakowski                                                       ,4.7
      miechowski                                                      ,5.5
      myślenicki                                                      ,3.1
      proszowicki                                                     ,7.1
      wielicki                                                        ,5.2
PODREGION 21 - M. KRAKÓW,2.8
      m. Kraków                                                       ,2.8
PODREGION 22 - NOWOSĄDECKI,7.1
      gorlicki                                                        ,6.4
      limanowski                                                      ,8.3
      nowosądecki                                                     ,8.6
      m. Nowy Sącz                                                    ,4.1
PODREGION 23 - OŚWIĘCIMSKI,6.9
      chrzanowski                                                     ,8.6
      olkuski                                                         ,8.0
      oświęcimski                                                     ,6.1
      wadowicki                                                       ,5.4
PODREGION 24 - TARNOWSKI,7.3
      brzeski                                                         ,6.5
      dąbrowski                                                       ,11.6
      tarnowski                                                       ,7.7
      m. Tarnów                                                       ,5.6
PODREGION 69 - NOWOTARSKI,7.3
      nowotarski                                                      ,7.0
      suski                                                           ,4.6
      tatrzański                                                      ,10.8
Woj. ŚLĄSKIE                                                          ,5.1
PODREGION 44 - BIELSKI,4.3
      bielski                                                         ,4.1
      cieszyński                                                      ,5.4
      żywiecki                                                        ,7.0
      m. Bielsko-Biała                                                ,2.4
PODREGION 45 - BYTOMSKI,8.2
      lubliniecki                                                     ,6.6
      tarnogórski                                                     ,6.3
      m. Bytom                                                        ,11.4
      m. Piekary Śląskie                                              ,7.5
PODREGION 46 - CZĘSTOCHOWSKI,6.2
      częstochowski                                                   ,8.5
      kłobucki                                                        ,7.0
      myszkowski                                                      ,8.2
      m. Częstochowa                                                  ,4.6
PODREGION 47 - GLIWICKI,4.8
      gliwicki                                                        ,5.8
      m. Gliwice                                                      ,3.7
      m. Zabrze                                                       ,6.5
PODREGION 48 - KATOWICKI,3.6
      m. Chorzów                                                      ,6.0
      m. Katowice                                                     ,2.2
      m. Mysłowice                                                    ,5.8
      m. Ruda Śląska                                                  ,3.9
      m. Siemianowice Śląskie                                         ,6.6
      m. Świętochłowice                                               ,7.7
PODREGION 49 - RYBNICKI,5.2
      raciborski                                                      ,5.0
      rybnicki                                                        ,6.9
      wodzisławski                                                    ,6.0
      m. Jastrzębie-Zdrój                                             ,5.0
