Województwa,Stopa bezrobocia w %
POLSKA                                                                ,6.8
REGION CENTRALNY,6.3
Woj. ŁÓDZKIE                                                          ,7.1
PODREGION 15 - ŁÓDZKI                                                 ,8.2
      łódzki wschodni                                                 ,8.4
      pabianicki                                                      ,8
      zgierski                                                        ,8.4
      brzeziński                                                      ,8.1
PODREGION 16 - M. ŁÓDŹ                                                ,6.9
      m. Łódź                                                         ,6.9
PODREGION 17 - PIOTRKOWSKI                                            ,6.9
      bełchatowski                                                    ,6.1
      opoczyński                                                      ,6
      piotrkowski                                                     ,6.7
      radomszczański                                                  ,7.9
      tomaszowski                                                     ,7.7
      m. Piotrków Trybunalski                                         ,6.5
PODREGION 18 - SIERADZKI                                              ,7.1
      łaski                                                           ,9.5
      pajęczański                                                     ,7.8
      poddębicki                                                      ,7.1
      sieradzki                                                       ,6.1
      wieluński                                                       ,7.2
      wieruszowski                                                    ,5
      zduńskowolski                                                   ,7.8
PODREGION 19 - SKIERNIEWICKI                                          ,7.1
      kutnowski                                                       ,9.9
      łęczycki                                                        ,8.2
      łowicki                                                         ,6.1
      rawski                                                          ,4.4
      skierniewicki                                                   ,4.3
      m. Skierniewice                                                 ,6.9
Woj. MAZOWIECKIE                                                      ,5.9
PODREGION 25 - CIECHANOWSKI                                           ,11.3
      ciechanowski                                                    ,11
      mławski                                                         ,7.7
      płoński                                                         ,10.9
      pułtuski                                                        ,14.5
      żuromiński                                                      ,15.4
PODREGION 26 - OSTROŁĘCKI                                             ,10.8
      makowski                                                        ,18.1
      ostrołęcki                                                      ,12.3
      ostrowski                                                       ,10.4
      przasnyski                                                      ,10
      wyszkowski                                                      ,5.4
      m. Ostrołęka                                                    ,11
PODREGION 27 - RADOMSKI                                               ,15.3
      białobrzeski                                                    ,8.2
      kozienicki                                                      ,11.5
      lipski                                                          ,10.7
      przysuski                                                       ,19.6
      radomski                                                        ,19.6
      szydłowiecki                                                    ,25.9
      zwoleński                                                       ,11.7
      m. Radom                                                        ,13.9
PODREGION 28 - M. ST. WARSZAWA                                        ,2.3
      m. Warszawa                                                     ,2.3
PODREGION 29 - WARSZAWSKI WSCHODNI                                    ,7.7
      garwoliński                                                     ,10
      legionowski                                                     ,8.3
      miński                                                          ,5.9
      nowodworski                                                     ,6.4
      otwocki                                                         ,5.2
      wołomiński                                                      ,9.4
PODREGION 30 - WARSZAWSKI ZACHODNI                                    ,4.7
      grodziski                                                       ,3.7
      grójecki                                                        ,2.4
      piaseczyński                                                    ,4.8
      pruszkowski                                                     ,4.6
      sochaczewski                                                    ,6.9
      warszawski zachodni                                             ,2.7
      żyrardowski                                                     ,11.7
PODREGION 70 - PŁOCKI                                                 ,11.4
      gostyniński                                                     ,15.8
      płocki                                                          ,12.7
      sierpecki                                                       ,17.2
      m. Płock                                                        ,7.6
PODREGION 71 - SIEDLECKI                                              ,6.6
      łosicki                                                         ,6.1
      siedlecki                                                       ,6.6
      sokołowski                                                      ,6.2
      węgrowski                                                       ,8.1
      m. Siedlce                                                      ,6
REGION POŁUDNIOWY,5.5
Woj. MAŁOPOLSKIE                                                      ,5.5
PODREGION 20 - KRAKOWSKI                                              ,5.1
      bocheński                                                       ,5.4
      krakowski                                                       ,4.9
      miechowski                                                      ,5.7
      myślenicki                                                      ,3.5
      proszowicki                                                     ,7.3
      wielicki                                                        ,5.6
PODREGION 21 - M. KRAKÓW                                              ,3
      m. Kraków                                                       ,3
PODREGION 22 - NOWOSĄDECKI                                            ,7.4
      gorlicki                                                        ,6.6
      limanowski                                                      ,8.8
      nowosądecki                                                     ,8.7
      m. Nowy Sącz                                                    ,4.4
PODREGION 23 - OŚWIĘCIMSKI                                            ,7.2
      chrzanowski                                                     ,9.1
      olkuski                                                         ,8.3
      oświęcimski                                                     ,6.3
      wadowicki                                                       ,5.7
PODREGION 24 - TARNOWSKI                                              ,7.6
      brzeski                                                         ,6.7
      dąbrowski                                                       ,11.9
      tarnowski                                                       ,7.8
      m. Tarnów                                                       ,6.1
PODREGION 69 - NOWOTARSKI                                             ,7.3
      nowotarski                                                      ,7.2
      suski                                                           ,4.6
      tatrzański                                                      ,10.7
Woj. ŚLĄSKIE                                                          ,5.5
PODREGION 44 - BIELSKI                                                ,4.5
      bielski                                                         ,4.2
      cieszyński                                                      ,5.5
      żywiecki                                                        ,7.2
      m. Bielsko-Biała                                                ,2.7
PODREGION 45 - BYTOMSKI                                               ,8.6
      lubliniecki                                                     ,7
      tarnogórski                                                     ,6.8
      m. Bytom                                                        ,11.6
      m. Piekary Śląskie                                              ,8
PODREGION 46 - CZĘSTOCHOWSKI                                          ,6.7
      częstochowski                                                   ,8.9
      kłobucki                                                        ,7.5
