Województwa,Stopa bezrobocia w %
POLSKA                                                                ,7.1
Woj. DOLNOŚLĄSKIE                                                     ,6.3
PODREGION 1 - JELENIOGÓRSKI,8.5
      bolesławiecki                                                   ,5.0
      jaworski                                                        ,13.8
      jeleniogórski                                                   ,9.9
      kamiennogórski                                                  ,7.8
      lubański                                                        ,10.3
      lwówecki                                                        ,14.9
      zgorzelecki                                                     ,6.4
      złotoryjski                                                     ,16.6
      m. Jelenia Góra                                                 ,3.6
PODREGION 2 - LEGNICKO-GŁOGOWSKI,7.3
      głogowski                                                       ,9.6
      górowski                                                        ,15.9
      legnicki                                                        ,12.5
      lubiński                                                        ,5.1
      polkowicki                                                      ,4.7
      m. Legnica                                                      ,5.8
PODREGION 3 - WAŁBRZYSKI,10.0
      dzierżoniowski                                                  ,8.3
      kłodzki                                                         ,13.6
      świdnicki                                                       ,7.2
      wałbrzyski                                                      ,15.8
      ząbkowicki                                                      ,12.4
      m. Wałbrzych                                                    ,8.1
PODREGION 4 - WROCŁAWSKI,6.5
      milicki                                                         ,8.2
      oleśnicki                                                       ,6.9
      oławski                                                         ,6.2
      strzeliński                                                     ,12.1
      średzki                                                         ,6.5
      trzebnicki                                                      ,7.3
      wołowski                                                        ,13.5
      wrocławski                                                      ,2.6
PODREGION 5 - M. WROCŁAW,2.6
      m. Wrocław                                                      ,2.6
Woj. KUJAWSKO-POMORSKIE                                               ,10.5
PODREGION 6 - BYDGOSKO-TORUŃSKI,5.8
      bydgoski                                                        ,7.2
      toruński                                                        ,13.2
      m. Bydgoszcz                                                    ,4.3
      m. Toruń                                                        ,5.4
PODREGION 7 - GRUDZIĄDZKI,11.9
      brodnicki                                                       ,8.3
      chełmiński                                                      ,14.6
      golubsko-dobrzyński                                             ,12.2
      grudziądzki                                                     ,14.5
      rypiński                                                        ,11.6
      wąbrzeski                                                       ,14.7
      m. Grudziądz                                                    ,11.7
PODREGION 8 - WŁOCŁAWSKI,16.2
      aleksandrowski                                                  ,13.8
      lipnowski                                                       ,17.5
      radziejowski                                                    ,18.0
      włocławski                                                      ,19.0
      m. Włocławek                                                    ,13.9
