Województwa,Stopa bezrobocia w %
POLSKA                                                                ,5.9
Woj. DOLNOŚLĄSKIE                                                     ,5.2
      bolesławiecki                                                   ,3.7
      dzierżoniowski                                                  ,6.3
      głogowski                                                       ,9.3
      górowski                                                        ,15.0
      jaworski                                                        ,12.0
      jeleniogórski                                                   ,8.5
      kamiennogórski                                                  ,5.2
      kłodzki                                                         ,11.2
      legnicki                                                        ,11.2
      lubański                                                        ,7.4
      lubiński                                                        ,4.6
      lwówecki                                                        ,11.6
      milicki                                                         ,6.4
      oleśnicki                                                       ,5.4
      oławski                                                         ,5.6
      polkowicki                                                      ,4.0
      strzeliński                                                     ,10.6
      średzki                                                         ,5.7
      świdnicki                                                       ,6.0
      trzebnicki                                                      ,5.9
      wałbrzyski                                                      ,12.9
      wołowski                                                        ,11.2
      wrocławski                                                      ,2.0
      ząbkowicki                                                      ,10.3
      zgorzelecki                                                     ,4.7
      złotoryjski                                                     ,14.2
      m. Jelenia Góra                                                 ,3.1
      m. Legnica                                                      ,5.2
      m. Wrocław                                                      ,2.0
      m. Wałbrzych                                                    ,6.1
Woj. KUJAWSKO-POMORSKIE                                               ,8.7
      aleksandrowski                                                  ,11.9
      brodnicki                                                       ,6.7
      bydgoski                                                        ,5.9
      chełmiński                                                      ,12.3
      golubsko-dobrzyński                                             ,9.4
      grudziądzki                                                     ,13.0
      inowrocławski                                                   ,12.7
      lipnowski                                                       ,15.6
      mogileński                                                      ,10.7
      nakielski                                                       ,11.5
      radziejowski                                                    ,16.1
      rypiński                                                        ,10.1
      sępoleński                                                      ,12.5
      świecki                                                         ,7.1
      toruński                                                        ,11.2
      tucholski                                                       ,11.0
      wąbrzeski                                                       ,12.5
      włocławski                                                      ,15.9
      żniński                                                         ,10.5
      m. Bydgoszcz                                                    ,3.6
      m. Grudziądz                                                    ,9.4
      m. Toruń                                                        ,4.8
      m. Włocławek                                                    ,11.0
Woj. LUBELSKIE                                                        ,7.8
      bialski                                                         ,10.3
      biłgorajski                                                     ,4.7
      chełmski                                                        ,12.9
      hrubieszowski                                                   ,12.1
      janowski                                                        ,8.4
      krasnostawski                                                   ,11.5
      kraśnicki                                                       ,9.7
      lubartowski                                                     ,10.7
      lubelski                                                        ,6.5
      łęczyński                                                       ,5.3
      łukowski                                                        ,4.1
      opolski                                                         ,8.8
      parczewski                                                      ,7.1
      puławski                                                        ,5.6
      radzyński                                                       ,7.1
