Województwa ,Stopa bezrobocia w %
POLSKA                                                                ,7.7
Woj. DOLNOŚLĄSKIE                                                     ,6.9
PODREGION 1 - JELENIOGÓRSKI,9.3
      bolesławiecki                                                   ,5.3
      jaworski                                                        ,15.1
      jeleniogórski                                                   ,10.5
      kamiennogórski                                                  ,9.8
      lubański                                                        ,11.1
      lwówecki                                                        ,16.0
      zgorzelecki                                                     ,7.0
      złotoryjski                                                     ,17.7
      m. Jelenia Góra                                                 ,4.1
PODREGION 2 - LEGNICKO-GŁOGOWSKI,7.7
      głogowski                                                       ,10.1
      górowski                                                        ,17.0
      legnicki                                                        ,12.9
      lubiński                                                        ,5.5
      polkowicki                                                      ,5.1
      m. Legnica                                                      ,6.1
PODREGION 3 - WAŁBRZYSKI,11.1
      dzierżoniowski                                                  ,9.6
      kłodzki                                                         ,14.8
      świdnicki                                                       ,7.9
      wałbrzyski                                                      ,18.4
      ząbkowicki                                                      ,13.5
      m. Wałbrzych                                                    ,8.6
PODREGION 4 - WROCŁAWSKI,7.0
      milicki                                                         ,9.1
      oleśnicki                                                       ,7.8
      oławski                                                         ,6.7
      strzeliński                                                     ,12.5
      średzki                                                         ,7.1
      trzebnicki                                                      ,7.9
      wołowski                                                        ,14.1
      wrocławski                                                      ,2.7
PODREGION 5 - M. WROCŁAW,2.7
      m. Wrocław                                                      ,2.7
Woj. KUJAWSKO-POMORSKIE                                               ,11.3
PODREGION 6 - BYDGOSKO-TORUŃSKI,6.2
      bydgoski                                                        ,7.8
      toruński                                                        ,14.2
      m. Bydgoszcz                                                    ,4.6
      m. Toruń                                                        ,5.7
PODREGION 7 - GRUDZIĄDZKI,12.8
      brodnicki                                                       ,9.3
      chełmiński                                                      ,15.3
      golubsko-dobrzyński                                             ,12.9
      grudziądzki                                                     ,15.5
      rypiński                                                        ,12.6
      wąbrzeski                                                       ,15.3
      m. Grudziądz                                                    ,12.4
PODREGION 8 - WŁOCŁAWSKI,17.3
      aleksandrowski                                                  ,15.3
